gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000186470.13,BTN3A2,8.566717752353785,6.691819669636256,1.064764485561481e-17,1.638854728881228,3,3,,
ENSG00000149485.18,FADS1,-7.051662780240157,-22.161555607758377,1.7679224311236696e-12,0.10124709873179177,1,1,,
ENSG00000163938.16,GNL3,6.912464713284192,29.38465753993055,4.763045048970279e-12,0.0553381437758018,2,2,,
ENSG00000168496.3,FEN1,-6.607464246024551,-229.12058672752624,3.9095856290791905e-11,0.0008316515820817082,1,1,,
ENSG00000134825.15,TMEM258,6.607464246024551,35.95610101615609,3.9095856290791905e-11,0.033769486734257496,1,2,,
ENSG00000233822.4,HIST1H2BN,6.576395091345791,40.29401759976074,4.8199078675034326e-11,0.026637572787136313,1,1,,
ENSG00000028116.16,VRK2,6.484849156125356,52.040240497463195,8.882060381135569e-11,0.015528201821765345,2,2,,
ENSG00000168237.17,GLYCTK,6.094175849142121,13.534778518309073,1.1000268726799726e-09,0.20273449830588502,2,2,,
ENSG00000234127.8,TRIM26,-6.0805522406687675,-35.14893703045932,1.1976932151190069e-09,0.029926894781384154,1,1,,
ENSG00000163354.14,DCST2,-5.964652185065888,-10.715023151843733,2.4515568559928226e-09,0.30987320226669174,2,2,,
ENSG00000112659.13,CUL9,5.886994711937902,18.393751473900288,3.932812923640842e-09,0.10243459694060805,2,2,,
ENSG00000168273.7,SMIM4,-5.784769525441813,-769.8082342984872,7.261181424267829e-09,5.646859950483962e-05,1,1,,
ENSG00000090263.15,MRPS33,5.758150417495432,36.69910034955685,8.504056249872049e-09,0.024618136487044057,1,1,,
ENSG00000188886.3,ASTL,-5.6430865086382616,-418.1748631250108,1.6702836651302276e-08,0.00018210319655994822,1,1,,
ENSG00000239389.7,PCDHA13,-5.643006437452869,-10.912683251061576,1.671060959169338e-08,0.26739789992249685,2,2,,
ENSG00000147419.17,CCDC25,-5.597283943828057,-13.071752544646998,2.177359409019855e-08,0.18335258691512848,2,2,,
ENSG00000273611.4,ZNHIT3,-5.5714192769940265,-47.915169846928215,2.526724321947002e-08,0.013520277987049894,2,2,,
ENSG00000174871.10,CNIH2,-5.569957247036681,-127.40677984023769,2.5480185076044183e-08,0.0019112550457636465,1,2,,
ENSG00000137960.5,GIPC2,-5.542824800281771,-27.594805435842623,2.97630623306342e-08,0.040346663880966464,1,1,,
ENSG00000114904.12,NEK4,5.493269766308844,67.26846174742168,3.9455938373712934e-08,0.006668664381854993,1,1,,
ENSG00000174851.15,YIF1A,5.4811834680571385,52.212366048506105,4.22490069448584e-08,0.011020516018794845,1,1,,
ENSG00000173486.12,FKBP2,5.470267880383209,86.56934985697929,4.49355871659788e-08,0.003992904074600989,2,2,,
ENSG00000112343.10,TRIM38,5.453568613467706,929.8452528226604,4.9368884152957084e-08,3.439855558529071e-05,1,2,,
ENSG00000149930.17,TAOK2,5.439519225675926,218.09856823077936,5.342454412710631e-08,0.0006220358325775091,1,1,,
ENSG00000084090.13,STARD7,5.406667411502313,81.08819717633608,6.420821201543241e-08,0.0044457395891518165,1,2,,
ENSG00000104497.13,SNX16,5.372111497629338,9.741856819167884,7.781996328326991e-08,0.30409308966199566,2,2,,
ENSG00000114988.11,LMAN2L,-5.340257106389477,-25.031429666204854,9.281485567058875e-08,0.04551484030366379,2,2,,
ENSG00000180596.7,HIST1H2BC,-5.311693571174613,-113.5511039685734,1.0861112120310461e-07,0.002188181308497087,1,1,,
ENSG00000175264.7,CHST1,5.3054647029150885,24.063225303385963,1.123863144608677e-07,0.04861151814086734,2,2,,
ENSG00000180354.15,MTURN,5.210342137960717,233.71545872327374,1.8849270465385684e-07,0.000497001393525624,1,2,,
ENSG00000254986.7,DPP3,5.145357879047505,306.12879641261,2.670112847093869e-07,0.0002825028320535401,1,1,,
ENSG00000106052.13,TAX1BP1,5.144171755280298,157.20191004218307,2.687036190428971e-07,0.0010708170658188182,1,1,,
ENSG00000175115.11,PACS1,5.135923915110128,17.029280549402827,2.807612381425259e-07,0.09095876646359037,1,1,,
ENSG00000196378.11,ZNF34,-5.0981778607654284,-14.033236794261144,3.42938525010222e-07,0.13198186422343325,1,2,,
