gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000163938.16,GNL3,6.902775225975835,35.744020337506456,5.099628863294467e-12,0.03729414597867259,3,3,,
ENSG00000148700.14,ADD3,6.740438515559084,33.55203479701756,1.579093160644888e-11,0.04035883078335171,2,2,,
ENSG00000134825.15,TMEM258,6.607464246024551,44.07826598493402,3.9095856290791905e-11,0.02247090900147761,1,2,,
ENSG00000163939.18,PBRM1,-6.554649872920952,-290.79160809586824,5.577257685401284e-11,0.0005080836948027716,1,1,,
ENSG00000108039.17,XPNPEP1,6.5431778622652175,46.81659899162232,6.02251312897046e-11,0.019533394875123716,2,2,,
ENSG00000149485.18,FADS1,-6.499850795062477,-23.031131267584733,8.039971252444352e-11,0.07964824919174052,1,2,,
ENSG00000028116.16,VRK2,6.459350746478551,52.61860041374012,1.0515313780987066e-10,0.015069510685241125,2,2,,
ENSG00000125458.6,NT5C,-6.221889327310949,-36.01029621852315,4.912034923612507e-10,0.029853219611778906,2,2,,
ENSG00000174791.10,RIN1,-6.12589248609397,-137.77019934491852,9.017668526787022e-10,0.001977097864841756,2,2,,
ENSG00000270604.5,HCG17,6.122267685295421,11.447699780140873,9.225286650533109e-10,0.28601457580772843,2,2,,
ENSG00000158748.3,HTR6,6.0645314251110936,58.943654474527676,1.3233890291785413e-09,0.010585719573221313,1,3,,
ENSG00000145863.10,GABRA6,-6.039598622064031,-58.234406695010435,1.544980597787055e-09,0.010756149860948427,2,2,,
ENSG00000163354.14,DCST2,-6.011179034919409,-9.741800523114756,1.8417886416342172e-09,0.3807508319845369,2,2,,
ENSG00000186470.13,BTN3A2,5.997580568481083,5.774630249763669,2.0027900588859636e-09,1.0787077985464701,2,3,,
ENSG00000104497.13,SNX16,5.990015678659869,9.676783067785607,2.098208090569891e-09,0.38317212527686323,3,3,,
ENSG00000163357.10,DCST1,-5.978921975240519,-31.999221655191516,2.246191048390394e-09,0.03491137406485999,2,2,,
ENSG00000112659.13,CUL9,5.856742564489235,18.985433118640866,4.72033961843264e-09,0.09516368510176099,2,2,,
ENSG00000168273.7,SMIM4,-5.784769525441813,-765.8031019609017,7.261181424267829e-09,5.7060802984122295e-05,1,1,,
ENSG00000090263.15,MRPS33,5.758150417495432,36.83223388844926,8.504056249872049e-09,0.024440489036847608,1,1,,
ENSG00000239732.3,TLR9,5.6707635398319685,88.40608180002741,1.4216250012677939e-08,0.004114516337250648,1,1,,
ENSG00000114988.11,LMAN2L,-5.646495669095157,-26.66170209893325,1.6375128879168564e-08,0.04485204565777455,2,2,,
ENSG00000188886.3,ASTL,-5.6430865086382616,-396.7937913169782,1.6702836651302276e-08,0.00020225705530417233,1,1,,
