gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000163939.18,PBRM1,-8.021988436474025,-119.21627577037684,1.040469382045789e-15,0.0045278597057402375,2,2,,
ENSG00000149485.18,FADS1,-7.051662780240156,-25.236983068347616,1.7679224311236696e-12,0.0780743178657388,1,2,,
ENSG00000125458.6,NT5C,-6.962549230064988,-56.69675962826654,3.3416976094223146e-12,0.015080650700586274,2,2,,
ENSG00000163938.16,GNL3,6.907896531466399,29.785054591512523,4.918925218843565e-12,0.05378917051247162,2,2,,
ENSG00000134825.15,TMEM258,6.607464246024551,47.29125070890359,3.9095856290791905e-11,0.019521268896444382,1,1,,
ENSG00000168496.3,FEN1,-6.60746424602455,-170.31354910827417,3.909585629079234e-11,0.0015051204108725048,1,1,,
ENSG00000148700.14,ADD3,6.330104198859725,58.00422515029034,2.449956949689462e-10,0.011909744881751718,1,1,,
ENSG00000169592.14,INO80E,6.329183646288441,20.140296100802512,2.4646163779399974e-10,0.09875604571949309,2,2,,
ENSG00000270604.5,HCG17,6.25368929149592,13.361308806130245,4.008681604233279e-10,0.21906580755004795,1,2,,
ENSG00000197696.9,NMB,6.142351029005997,55.050163950764166,8.130892233108212e-10,0.01244950348579773,1,1,,
ENSG00000198315.10,ZKSCAN8,6.084303938574465,21.703933916003525,1.1699847386990984e-09,0.07858594590803655,2,2,,
ENSG00000158748.3,HTR6,6.0645314251110936,41.56490148538061,1.3233890291785413e-09,0.021288300434321183,1,1,,
ENSG00000186470.13,BTN3A2,5.93894555991262,6.299359609771047,2.8686109600115667e-09,0.8888446967264377,2,2,,
ENSG00000163354.14,DCST2,-5.911595552794541,-9.128740974670498,3.38809626083011e-09,0.4193606328114947,2,2,,
ENSG00000253230.8,LINC00599,5.9039483342907,562.7731524764322,3.549033490145331e-09,0.00011005717344141847,1,1,,
ENSG00000177082.12,WDR73,5.87502404380873,13.441046516721942,4.2278198077863325e-09,0.19105267748459542,1,1,,
ENSG00000028116.16,VRK2,5.869973432973166,64.0100261636406,4.3586497792674835e-09,0.008409617867240366,1,1,,
ENSG00000168273.7,SMIM4,-5.784769525441813,-1160.6879562296128,7.261181424267829e-09,2.483940366098425e-05,1,1,,
ENSG00000188886.3,ASTL,5.6430865086382616,1933.5403643836485,1.6702836651302276e-08,8.517790037270011e-06,1,1,,
ENSG00000124159.15,MATN4,5.561999319126451,29.72526743320004,2.6670133352990468e-08,0.035011468067035444,2,3,,
ENSG00000114904.12,NEK4,5.506064320956207,33.90676321558983,3.669445069735425e-08,0.02636998568443669,1,1,,
ENSG00000174851.15,YIF1A,5.4811834680571385,53.93114308550838,4.22490069448584e-08,0.010329265192136425,1,1,,
ENSG00000168237.17,GLYCTK,5.459825220455723,17.25035141340662,4.7660353829953674e-08,0.10017551580386914,1,1,,
ENSG00000147724.11,FAM135B,-5.437944003797765,-359.7786732209374,5.389890709700532e-08,0.00022845392852978089,1,1,,
ENSG00000114902.13,SPCS1,-5.413916112258675,-63.95053860569883,6.166106256416547e-08,0.007166954234237876,1,1,,
ENSG00000114988.11,LMAN2L,-5.409356428277997,-33.43918102636953,6.325163419266259e-08,0.02616856646084568,2,2,,
ENSG00000175806.14,MSRA,5.379046476843693,451.34298630844637,7.488137749862528e-08,0.00014203559579500932,1,1,,
ENSG00000253669.3,KB-1732A1.1,-5.323097000866312,-19.97778749175701,1.0201530969414824e-07,0.07099601658915869,2,2,,
ENSG00000149930.17,TAOK2,5.320423004344852,186.53039290791287,1.035262569262096e-07,0.0008135666080064589,1,1,,
ENSG00000104497.13,SNX16,5.291918123546448,10.259128843881086,1.210400834685981e-07,0.26607573106098953,2,2,,
ENSG00000182149.20,IST1,-5.276476425258163,-37.67218679494992,1.3169144562395675e-07,0.01961762111256569,2,2,,
ENSG00000198951.11,NAGA,5.209600041592765,8.633431594998989,1.8924814403197146e-07,0.3641177580542997,3,3,,
ENSG00000254986.7,DPP3,-5.145357879047505,-234.22968078554348,2.670112847093869e-07,0.0004825555565983607,1,1,,
ENSG00000106052.13,TAX1BP1,5.144171755280297,101.18568074524995,2.687036190428987e-07,0.0025845968184874174,1,1,,
ENSG00000148408.12,CACNA1B,5.139849148806117,28.07808310167497,2.749591238035724e-07,0.03350933704163616,1,2,,
ENSG00000175115.11,PACS1,5.135923915110128,18.399562142245593,2.807612381425259e-07,0.07791519939554105,1,1,,
ENSG00000174943.9,KCTD13,5.120409504392677,186.82270314997888,3.0487289279430934e-07,0.0007511904997835187,1,1,,
ENSG00000134900.11,TPP2,-5.115791350331588,-1101.0430403300525,3.124282786968716e-07,2.158823089547377e-05,1,1,,
ENSG00000174547.13,MRPL11,5.10494035630424,54.1572787554774,3.308988649356399e-07,0.008885209582754107,1,1,,
ENSG00000113318.9,MSH3,5.0572191460641225,8.822892981463234,4.254142792870105e-07,0.3285500397535922,2,2,,
ENSG00000174938.14,SEZ6L2,-5.053671606462314,-138.77884223445767,4.3339654583552946e-07,0.0013260732516515968,1,2,,
ENSG00000091009.7,RBM27,-5.0389789983646125,-55.55023130276097,4.680218323754806e-07,0.00822836130804116,2,2,,
ENSG00000180979.9,LRRC57,5.00725794644353,14.17944771420283,5.521091582060987e-07,0.1247042623714086,1,2,,
ENSG00000105866.13,SP4,4.999927032983207,47.269062082171864,5.735201463164569e-07,0.0111885385552031,1,1,,
ENSG00000240204.2,SMKR1,4.997009118227741,18.085727662303533,5.822631639668685e-07,0.0763393240362627,2,2,,
ENSG00000173715.15,C11orf80,4.97521023536708,40.629824969601536,6.517686345668664e-07,0.014994533944455032,1,3,,
ENSG00000173486.12,FKBP2,4.919801576314691,49.462987247404655,8.663199177129524e-07,0.009893147673644648,1,1,,
ENSG00000132612.15,VPS4A,4.9042331601066635,11.55597606385,9.37930274190904e-07,0.18010631964084617,2,2,,
ENSG00000159214.12,CCDC24,4.897345793215001,112.41484622124742,9.713981082467067e-07,0.0018979038131056868,2,2,,
ENSG00000124920.13,MYRF,4.891475042137592,135.57624554620432,1.0008308605916044e-06,0.0013017047148527236,1,1,,
ENSG00000178209.14,PLEC,-4.881547889082459,-20.365323277935047,1.0525635425543108e-06,0.057455616831655926,1,1,,
ENSG00000260469.2,C15orf59-AS1,4.8579498803167365,7.10648854116108,1.1860742134868363e-06,0.4673001705422125,3,3,,
ENSG00000227373.5,RP11-160H22.5,4.840130630177547,16.604215918799873,1.2975381033272773e-06,0.08497230933319595,1,2,,
ENSG00000272674.3,PCDHB16,4.824535063721518,33.452436414639905,1.4033022948286966e-06,0.020799621235672302,2,2,,
ENSG00000174939.10,ASPHD1,-4.813395416629687,-48.77617184746783,1.4838727212537752e-06,0.009738401052585992,1,2,,
ENSG00000112812.15,PRSS16,-4.810991599460841,-32.43580583084874,1.5018333006266473e-06,0.021999854737830962,1,1,,
ENSG00000276529.1,AP001505.10,-4.796124088129129,-5.1507200033363905,1.6176509430352294e-06,0.8670515877039597,2,2,,
ENSG00000174165.7,ZDHHC24,4.795129144109703,6.431697063100739,1.625700636298415e-06,0.5558395627170329,2,3,,
ENSG00000159433.11,STARD9,-4.780842525640017,-207.01843511003563,1.745620630542141e-06,0.0005333236405843014,1,2,,
ENSG00000154945.6,ANKRD40,4.735083312448442,19.2788402232271,2.189651338914881e-06,0.06032445976414075,2,2,,
ENSG00000204653.9,ASPDH,-4.725907959350691,-13.254228158941126,2.2908940373767592e-06,0.12713397728373033,1,2,,
ENSG00000148842.17,CNNM2,-4.709988633457645,-22.682121874664137,2.4773060688607366e-06,0.04311936522395526,2,2,,
ENSG00000239389.7,PCDHA13,-4.683036669205839,-6.631451814877316,2.8265592398889977e-06,0.4986982912951013,1,1,,
ENSG00000174684.6,B4GAT1,4.659159496331526,63.81030727856611,3.1750312611918465e-06,0.005331304445619926,1,1,,
ENSG00000162267.12,ITIH3,4.649534086153678,168.3371123379801,3.3268570046436893e-06,0.000762885087891098,1,1,,
ENSG00000213079.9,SCAF8,4.640630168181818,372.5261327285758,3.473482926373187e-06,0.00015518167317188692,1,1,,
ENSG00000147419.17,CCDC25,-4.635355634732576,-17.655468830672824,3.5632433475699963e-06,0.06892989399468534,1,2,,
ENSG00000158158.11,CNNM4,-4.605300155871244,-32.415778316119074,4.11871353804519e-06,0.020183801895332372,1,1,,
ENSG00000155719.16,OTOA,4.578681301229807,490.1824515989977,4.679164917305372e-06,8.724997515315934e-05,1,1,,
ENSG00000113649.11,TCERG1,4.575560772875478,112.99108150667027,4.749460652957071e-06,0.0016398356547076378,1,1,,
ENSG00000122574.10,WIPF3,4.5627122715620505,21.838109657199418,5.049699651804478e-06,0.043653199529153495,1,2,,
ENSG00000120327.6,PCDHB14,4.558962517915795,21.832169242731407,5.140694426042833e-06,0.04360519817348373,1,1,,
ENSG00000185219.16,ZNF445,-4.555876796314031,-51.047751626087006,5.216750860232823e-06,0.007965090322007587,1,1,,
ENSG00000176018.12,LYSMD3,4.547364872144176,43.629182748238804,5.4321775452316724e-06,0.010863391953562763,2,2,,
ENSG00000198885.9,ITPRIPL1,-4.530654787984406,-16.122113890797568,5.880115405353492e-06,0.07897287984338838,1,1,,
ENSG00000113248.5,PCDHB15,4.521678673055748,43.2239757914959,6.135114281510183e-06,0.010943341964094015,1,1,,
ENSG00000162073.13,PAQR4,-4.510442608452435,-36.84517235226443,6.469250259564975e-06,0.01498570356763252,2,2,,
ENSG00000228126.1,FALEC,-4.508601863128949,-11.106783823203815,6.525623641428969e-06,0.16478100003357554,2,2,,
ENSG00000163510.13,CWC22,-4.505554109687535,-74.87471912027158,6.6199966810585675e-06,0.0036209790076993918,1,2,,
ENSG00000231852.6,CYP21A2,-4.493475116948339,-11.071343513216688,7.007021231769861e-06,0.16472671217012524,1,3,,
ENSG00000125319.14,C17orf53,4.469851079159842,418.90896389676993,7.827407791936107e-06,0.00011385360882760503,1,2,,
ENSG00000164125.15,FAM198B,-4.450894582057309,-11.570899900716006,8.551331440510017e-06,0.14796545824983653,2,2,,
ENSG00000197818.11,SLC9A8,4.436604973861684,13.841218203824619,9.138877843622566e-06,0.10274315387359553,3,4,,
ENSG00000245526.10,LINC00461,-4.424725220744925,-496.5266741384078,9.65651146008969e-06,7.941223934024235e-05,1,1,,
ENSG00000161904.11,LEMD2,4.410703349378265,13.471355278831473,1.0303539405916261e-05,0.10719958869491603,2,2,,
ENSG00000141564.13,RPTOR,-4.409848872838644,-68.89745957169224,1.0344278405183824e-05,0.004096764460252081,1,1,,
ENSG00000204463.12,BAG6,4.399851778675091,4.231733322994736,1.083248423927776e-05,1.081034389769234,3,3,,
ENSG00000167779.7,IGFBP6,4.391703790356678,46.00552734712505,1.1246585191190035e-05,0.0091126786207622,1,1,,
ENSG00000135956.8,TMEM127,-4.390732516364349,-45.323657740175975,1.129694406336571e-05,0.009384779188055326,1,2,,
ENSG00000163888.3,CAMK2N2,4.364678112591375,34.57558986402631,1.2731008278183508e-05,0.015935483522517082,1,1,,
ENSG00000117407.16,ARTN,4.344439390180048,7.7517337974043965,1.3963178744294785e-05,0.3141013370315622,1,1,,
ENSG00000172354.9,GNB2,-4.332414182038207,-58.129552128767635,1.4748315739976043e-05,0.00555476875424787,2,2,,
ENSG00000177839.6,PCDHB9,4.33234854949393,27.660360731477645,1.4752714274642137e-05,0.024531895149734285,2,2,,
ENSG00000213533.11,TMEM110,-4.321612691415918,-20.806891946751637,1.548929072437212e-05,0.043139713929566136,1,2,,
ENSG00000133706.17,LARS,4.321545205515667,9.44298661062144,1.549402988632395e-05,0.20943987635065536,1,1,,
ENSG00000148600.14,CDHR1,-4.291940965862985,-6.691447810310437,1.7711804348881832e-05,0.41140284383168546,2,2,,
ENSG00000168078.9,PBK,4.281848091466029,270.2819873432818,1.8534750098603414e-05,0.0002509737524558889,1,1,,
ENSG00000242247.10,ARFGAP3,4.281764910668811,11.132908364943606,1.8541681395884667e-05,0.14792050088181097,2,2,,
ENSG00000134780.9,DAGLA,-4.258460624919786,-406.80429689612134,2.058394667385509e-05,0.00010958073494621268,1,1,,
ENSG00000204540.10,PSORS1C1,4.241192147109049,5.155137829487352,2.223356919971593e-05,0.6768545220629822,3,3,,
ENSG00000089639.10,GMIP,4.240734930632951,34.47524694562922,2.2278911264021682e-05,0.01513099485508718,2,2,,
ENSG00000106327.12,TFR2,4.235496207177778,50.64592621485056,2.2804755303837636e-05,0.006993902255716067,2,2,,
ENSG00000226328.6,NUP50-AS1,-4.224497257410692,-11.478501289555915,2.3947476796017395e-05,0.13545021237137034,3,3,,
ENSG00000136193.16,SCRN1,-4.223987282284252,-95.62826289253289,2.40017599904656e-05,0.0019510691873179818,1,1,,
ENSG00000103599.19,IQCH,4.2212251606857665,9.048636602015218,2.42978081032108e-05,0.2176259811188636,2,2,,
ENSG00000204308.7,RNF5,4.212302431739831,15.169863156508637,2.5278078306447e-05,0.07710379659821551,1,2,,
ENSG00000174744.13,BRMS1,4.211982982090694,46.66758260393815,2.5313861938174155e-05,0.00814596624021692,1,1,,
ENSG00000204033.9,LRIT2,-4.2103231424632215,-6.592726148366133,2.55005682872962e-05,0.4078502999765561,2,2,,
ENSG00000214435.7,AS3MT,4.172111113695551,3.9611685569941653,3.017903948099273e-05,1.1093410564257034,2,3,,
ENSG00000129351.17,ILF3,-4.163944519527773,-74.66801698760706,3.127961521161426e-05,0.0031098585326764685,1,1,,
ENSG00000158406.4,HIST1H4H,4.160233485768606,59.05557706999852,3.179224125440175e-05,0.0049626491830811175,1,1,,
ENSG00000273611.4,ZNHIT3,-4.159764578277415,-69.08078177439631,3.185757924185571e-05,0.003625960071282468,1,1,,
ENSG00000166024.13,R3HCC1L,4.159148859750153,20.411424329645353,3.194356777983002e-05,0.04152047433727509,1,1,,
ENSG00000140326.12,CDAN1,4.157421610579621,21.57924263208282,3.2185966324448266e-05,0.03711724573204019,2,2,,
ENSG00000205106.4,DKFZp779M0652,4.147579433616259,4.979170282183869,3.36008907436225e-05,0.6938657755489961,3,3,,
ENSG00000171174.13,RBKS,4.1455101488461406,60.4175769828684,3.3905798187413207e-05,0.004707923065007678,1,1,,
ENSG00000242574.8,HLA-DMB,-4.132779887217239,-8.945505812520233,3.584019215421158e-05,0.21343947601971142,1,1,,
ENSG00000120992.17,LYPLA1,4.115948837927368,1571.8643297862461,3.855898384463977e-05,6.856615848999113e-06,2,2,,
ENSG00000122687.17,MRM2,-4.106644602758842,-7.125905483319114,4.014481810615807e-05,0.33211930789849964,2,2,,
ENSG00000143257.11,NR1I3,-4.076963147409978,-47.85000463292302,4.562772105425035e-05,0.007259548369509661,1,2,,
ENSG00000101017.13,CD40,-4.074557035802674,-11.561780960517385,4.6102013835346694e-05,0.12419706368558434,3,3,,
ENSG00000204444.10,APOM,4.07346235497932,44.98055128713463,4.631934131098176e-05,0.00820120875120005,1,2,,
ENSG00000278311.4,GGNBP2,4.066710173240009,25.530038136252614,4.768148277897937e-05,0.025373683433374906,2,2,,
ENSG00000108848.15,LUC7L3,4.060898829381231,72.55472813378611,4.8884152785049845e-05,0.0031326574017771333,1,1,,
ENSG00000128191.15,DGCR8,4.058378140612195,28.800143399814637,4.941470754421581e-05,0.0198570952878721,1,2,,
ENSG00000179195.15,ZNF664,-4.051819567563824,-69.44640214240722,5.08208516813192e-05,0.003404087330385718,1,2,,
ENSG00000204257.14,HLA-DMA,-4.048467327843875,-4.370080887091192,5.155412912882486e-05,0.8582273024672119,1,2,,
ENSG00000250120.6,PCDHA10,4.047969810956083,15.474302226182521,5.1663808005521435e-05,0.06843092025782041,1,1,,
ENSG00000099204.18,ABLIM1,-4.040344641332885,-60.08243853241627,5.337271137265035e-05,0.004522116247975745,1,1,,
ENSG00000164306.10,PRIMPOL,-4.030821413598373,-7.307930364925461,5.558226461341979e-05,0.3042273911702327,2,2,,
ENSG00000132603.13,NIP7,-4.027819896586471,-20.68910706099536,5.62964412237031e-05,0.03790151691064714,2,2,,
ENSG00000157315.4,TMED6,4.025172926377713,8.864620046025937,5.693346223452895e-05,0.20618109155300324,2,2,,
ENSG00000213719.8,CLIC1,4.024760246659732,45.841959412102284,5.703339102267276e-05,0.007708212607748596,2,2,,
ENSG00000204410.14,MSH5,4.024731292934073,31.312282171636355,5.7040408287804684e-05,0.016521304548043972,1,3,,
