gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000149485.18,FADS1,-7.770895276157522,-23.73652248361338,7.793331275375543e-15,0.10717856215231392,2,2,,
ENSG00000134825.15,TMEM258,7.221747750758434,42.159891132753124,5.132361128943207e-13,0.029341726738949227,2,2,,
ENSG00000163938.16,GNL3,6.912361004343342,32.63229305149,4.766529592554542e-12,0.044870162053090884,2,2,,
ENSG00000134824.13,FADS2,-6.607464246024552,-134.6447867959271,3.9095856290791633e-11,0.0024081889406546457,1,1,,
ENSG00000233822.4,HIST1H2BN,6.576395091345791,43.91627268611072,4.8199078675034326e-11,0.022424607325973865,1,1,,
ENSG00000272468.1,RP1-86C11.7,-6.378977410115935,-99302.27125835273,1.7827432817994863e-10,4.126518197477208e-09,1,1,,
ENSG00000090263.15,MRPS33,6.335367233737387,41.41377607639678,2.367766286004505e-10,0.023402051262418015,2,2,,
ENSG00000148700.14,ADD3,6.330104198859724,72.80036793730055,2.449956949689462e-10,0.007560570533261588,1,1,,
ENSG00000177082.12,WDR73,6.142351029005998,15.471109076573374,8.130892233108151e-10,0.15762546053809298,1,1,,
ENSG00000158748.3,HTR6,6.0645314251110936,56.39453366438354,1.3233890291785413e-09,0.011564330157347442,1,1,,
ENSG00000186470.13,BTN3A2,6.003354114824668,6.043054571775468,1.9328243356834703e-09,0.9869039577911112,2,2,,
ENSG00000158691.14,ZSCAN12,5.985688805564051,180.52543207151516,2.1547600340187805e-09,0.0010993892403450775,1,2,,
ENSG00000173486.12,FKBP2,5.823084146159837,67.45239772512319,5.777144915034427e-09,0.007452660668737518,2,2,,
ENSG00000125458.6,NT5C,-5.747006562565716,-46.86860950737721,9.083720531917415e-09,0.01503554753114164,1,1,,
ENSG00000261353.1,CTA-14H9.5,5.672248516522298,53.0001386998989,1.4093532372337873e-08,0.011453981785105306,1,1,,
ENSG00000188886.3,ASTL,-5.6430865086382616,-354.2906162233188,1.6702836651302276e-08,0.00025369629026511043,1,1,,
ENSG00000169592.14,INO80E,5.613490135818044,18.596487183722232,1.9828591055280517e-08,0.0911179829570944,1,1,,
ENSG00000196378.11,ZNF34,-5.531742848891054,-13.819444941889584,3.170645002978491e-08,0.160229606562665,2,3,,
ENSG00000114904.12,NEK4,5.493269766308844,56.930938654041384,3.9455938373712934e-08,0.009310331949046131,1,1,,
ENSG00000168237.17,GLYCTK,5.459825220455723,19.83972637340692,4.7660353829953674e-08,0.07573316802913574,1,1,,
ENSG00000112343.10,TRIM38,-5.453568613467706,-362.53976155954683,4.9368884152957084e-08,0.00022628213802076258,1,2,,
ENSG00000179292.4,TMEM151A,-5.452081045125366,-1787.0025175461506,4.978375639647733e-08,9.308383706492952e-06,1,2,,
ENSG00000149930.17,TAOK2,5.439519225675926,331.99900675406127,5.342454412710631e-08,0.0002684401441302827,1,1,,
ENSG00000147724.11,FAM135B,-5.437944003797765,-79.6022841467729,5.389890709700532e-08,0.004666791550387591,1,1,,
ENSG00000173715.15,C11orf80,5.434861987024297,49.96162433737176,5.4838861344040654e-08,0.01183324730476624,1,2,,
ENSG00000148600.14,CDHR1,-5.428636848430345,-10.147377164786837,5.67860956617402e-08,0.286202863657292,2,2,,
ENSG00000114988.11,LMAN2L,-5.332432655606932,-29.882576790381215,9.690571272378531e-08,0.03184305084663785,2,2,,
ENSG00000180596.7,HIST1H2BC,-5.311693571174613,-166.40507824055658,1.0861112120310461e-07,0.0010189030784252995,1,1,,
ENSG00000105866.13,SP4,5.2844352723895955,56.68929666331769,1.2609312128405282e-07,0.008689504807900114,2,2,,
ENSG00000064547.13,LPAR2,-5.265854832128678,-22.853492885645032,1.3953851854813865e-07,0.053092428679237025,2,2,,
ENSG00000175115.11,PACS1,5.180496653221757,43.01031562665592,2.2129589871226855e-07,0.01450766557238737,1,1,,
ENSG00000133706.17,LARS,5.159858364193101,7.84669680470992,2.471367368573365e-07,0.4324160621394145,2,2,,
ENSG00000106052.13,TAX1BP1,5.144171755280298,268.88186445515265,2.687036190428971e-07,0.0003660225979426785,1,1,,
ENSG00000174943.9,KCTD13,5.120409504392677,1942.3178345229185,3.0487289279430934e-07,6.9497437917307055e-06,1,1,,
ENSG00000134900.11,TPP2,-5.115791350331588,-426.5575872601961,3.124282786968716e-07,0.00014383689655699287,1,2,,
ENSG00000119943.12,PYROXD2,5.113144517601343,7.099863498035554,3.1683970981878067e-07,0.5186520961324845,3,3,,
ENSG00000108582.11,CPD,5.061923104410099,49.63225228312896,4.1504843441288757e-07,0.010401671156688748,2,2,,
ENSG00000128285.4,MCHR1,-5.0233027182033565,-55.78742763473512,5.079039370284766e-07,0.008107856031866372,2,2,,
ENSG00000164818.15,DNAAF5,5.01237776095906,24.580332089895457,5.376152813810723e-07,0.041582643669778034,1,1,,
ENSG00000010379.15,SLC6A13,4.994683457805293,21.736130513409698,5.893234713502287e-07,0.05280213377867124,2,2,,
ENSG00000137312.14,FLOT1,-4.96798117826359,-21.01802279586858,6.765352730322431e-07,0.05586967771534118,1,2,,
ENSG00000106086.18,PLEKHA8,4.91792924729862,19.92559560906015,8.746451192373564e-07,0.06091747990260104,1,1,,
ENSG00000116161.17,CACYBP,4.86844212446086,329.68870736316205,1.1248145411343652e-06,0.00021805792722362572,1,1,,
ENSG00000154945.6,ANKRD40,4.865680023538319,33.09396421456868,1.1406393084209574e-06,0.021616705460187405,2,2,,
ENSG00000008838.19,MED24,4.816431945100483,20.12166896936963,1.4614797805218195e-06,0.0572958090774115,2,2,,
ENSG00000174939.10,ASPHD1,-4.813395416629687,-36.79225514061242,1.4838727212537752e-06,0.017115526517364404,1,1,,
ENSG00000143603.18,KCNN3,-4.802371452657976,-26.346516258296443,1.5679747823364881e-06,0.03322500862541238,1,1,,
ENSG00000159433.11,STARD9,-4.780842525640017,-194.37490490909587,1.745620630542141e-06,0.000604962549012241,1,2,,
