gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000186470.13,BTN3A2,8.542643087899455,6.239378854896123,1.3118610531235626e-17,1.8745706379193865,3,3,,
ENSG00000158158.11,CNNM4,-7.2082746093298375,-24.879792090903315,5.666526784363989e-13,0.08394003636471511,2,2,,
ENSG00000178209.14,PLEC,-6.7748215096234485,-20.62680152917576,1.245599420571845e-11,0.10787776389853784,2,2,,
ENSG00000134824.13,FADS2,6.607464246024551,79.29423901744806,3.9095856290791905e-11,0.006943626827292877,1,1,,
ENSG00000134825.15,TMEM258,6.607464246024551,51.5368600322378,3.9095856290791905e-11,0.016437423087290397,1,2,,
ENSG00000163938.16,GNL3,6.552054755113486,30.32947313779193,5.6750724055493074e-11,0.046668657087894444,2,2,,
ENSG00000108039.17,XPNPEP1,6.482061808985656,109.91530198451012,9.047755713455248e-11,0.0034778433852528517,1,1,,
ENSG00000169592.14,INO80E,6.311310077556742,19.482404544221442,2.766831998004269e-10,0.10494310783798096,2,2,,
ENSG00000105866.13,SP4,6.205078426061133,50.19239100158315,5.466963262155859e-10,0.015283357807679782,1,1,,
ENSG00000140564.11,FURIN,-6.181685558347915,-52.289936107946886,6.342075489622514e-10,0.013975829636556828,1,1,,
ENSG00000177082.12,WDR73,6.142351029005997,16.06807516549248,8.130892233108212e-10,0.14613073048137282,1,2,,
ENSG00000100031.18,GGT1,-6.121824294434206,-21.31142853999426,9.251000577035707e-10,0.08251570161606026,3,4,,
ENSG00000176340.3,COX8A,-6.112021223478627,-145.6710715774286,9.837709644730854e-10,0.0017604474968220944,1,1,,
ENSG00000163357.10,DCST1,-5.97776276614166,-34.12103618344175,2.2622284827994466e-09,0.030692546933829813,2,2,,
ENSG00000028116.16,VRK2,5.869973432973166,65.34476467866355,4.3586497792674835e-09,0.00806957522982367,1,2,,
ENSG00000112659.13,CUL9,5.855858888803371,15.989504871168378,4.7455103358683035e-09,0.1341254445085751,2,2,,
ENSG00000160685.13,ZBTB7B,5.855684558941864,93.1306680827573,4.750491368706444e-09,0.003953392284154977,1,1,,
ENSG00000168273.7,SMIM4,-5.784769525441813,-1070.8428268614932,7.261181424267829e-09,2.918237658669812e-05,1,1,,
