gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000233276.3,GPX1,9.585601796841077,39.87556634057003,9.192019466234866e-22,0.0577863200757896,2,2,,
ENSG00000186470.13,BTN3A2,8.76622829171041,6.8476656529125925,1.8475121708737393e-18,1.638854728881228,3,3,,
ENSG00000143801.16,PSEN2,7.968648494745274,34.49958474142706,1.6041902773701311e-15,0.053350882149110004,2,2,,
ENSG00000145020.15,AMT,-7.628671951416105,-24.786087156324783,2.3718433112785438e-14,0.09472877790255989,1,1,,
ENSG00000177352.9,CCDC71,7.059550469828964,28.340227200272466,1.670420999844941e-12,0.062050807789252475,1,1,,
ENSG00000233822.4,HIST1H2BN,6.704084236962496,41.076377632774665,2.0267332840178214e-11,0.026637572787136313,1,1,,
ENSG00000008300.16,CELSR3,6.660622516684112,412.3873095485755,2.7267015457765498e-11,0.00026086694845869885,1,1,,
ENSG00000100372.14,SLC25A17,6.457892916979767,71.36532113061054,1.0617082113260942e-10,0.008188554238810238,1,1,,
ENSG00000101489.19,CELF4,6.306238313675987,447.0763441345389,2.8589871784144174e-10,0.00019896531586100134,2,2,,
ENSG00000265055.1,AC145343.2,6.227925516571913,55.46866095271666,4.726516615023621e-10,0.0126064108274372,2,2,,
ENSG00000168439.16,STIP1,-5.976772990676535,-160.25114612951018,2.276010065201609e-09,0.0013910131415422093,1,1,,
ENSG00000175548.8,ALG10B,-5.950131404205414,-71.14972146621382,2.679272976912502e-09,0.0069936952701814435,2,2,,
ENSG00000178057.14,NDUFAF3,-5.889890625284334,-58.79831626464027,3.8645130256940675e-09,0.010034244528557109,1,1,,
ENSG00000149485.18,FADS1,-5.875664675811304,-18.465697170093428,4.211500657237807e-09,0.10124709873179177,1,1,,
ENSG00000170837.2,GPR27,5.786551401793182,11.680503557495724,7.184610898669991e-09,0.24542369962030183,1,1,,
ENSG00000096654.15,ZNF184,-5.767986363118825,-22.170908497944268,8.022429568727046e-09,0.06768329150671307,2,2,,
ENSG00000101017.13,CD40,-5.733669217620586,-16.309474547627342,9.828091658020592e-09,0.12359056852949586,2,2,,
ENSG00000164068.15,RNF123,5.710446488066162,39.18404079645829,1.1268016373419523e-08,0.021238394937368024,1,1,,
ENSG00000182481.8,KPNA2,-5.6221966565576444,-45.49426479454977,1.8854445192493674e-08,0.015272100136783375,1,1,,
ENSG00000186448.14,ZNF197,-5.46941684766841,-41.63417785380038,4.515186912126064e-08,0.017257666096159762,1,1,,
ENSG00000149187.17,CELF1,5.4488761883335055,125.78735010562775,5.0689082850231156e-08,0.0018764627312791906,2,2,,
ENSG00000110536.13,PTPMT1,5.420423716912257,40.359834067041575,5.945793995934611e-08,0.018037142220146563,2,2,,
ENSG00000213533.11,TMEM110,-5.416353731682095,-28.148187763446828,6.082670645378288e-08,0.0370265425365561,1,1,,
ENSG00000279325.1,RP11-24H2.3,-5.405863930727955,-15.552875330198189,6.449674775785031e-08,0.12081165631404725,1,1,,
ENSG00000168496.3,FEN1,-5.394128674395943,-187.0469337015281,6.885686271961816e-08,0.0008316515820817082,1,1,,
ENSG00000055955.15,ITIH4,-5.3837457785596134,-8.387169404377028,7.295151893563174e-08,0.4120389373632827,2,2,,
ENSG00000136240.9,KDELR2,-5.331856039181371,-30.313594044065827,9.721399479711029e-08,0.03093726869067376,2,2,,
ENSG00000188906.14,LRRK2,-5.329322118296235,-34.07203604989962,9.85800189420189e-08,0.02446514357232373,2,2,,
ENSG00000186446.11,ZNF501,-5.249075915121912,-14.004929482168697,1.5286407559401845e-07,0.1404765571531658,2,2,,
ENSG00000162367.11,TAL1,5.242271841836712,30.85154163999109,1.586114583665731e-07,0.028872562811512542,1,1,,
ENSG00000173457.10,PPP1R14B,5.227491659478426,44.28331025626492,1.7182514698081375e-07,0.01393498616033216,2,2,,
ENSG00000178252.17,WDR6,5.218681007004198,22.109575316655715,1.8020181549460663e-07,0.05571353322400601,1,1,,
ENSG00000114204.14,SERPINI2,-5.186553408552947,-22.562158118015454,2.1422160856623774e-07,0.052844091009634775,1,1,,
ENSG00000072858.10,SIDT1,5.180392554132495,53.38727848694022,2.214194380090483e-07,0.009415638499583,1,1,,
ENSG00000100197.20,CYP2D6,-5.16381150407684,-6.487086162402093,2.419713699867256e-07,0.6336383126389622,2,2,,
ENSG00000178467.17,P4HTM,-5.1572100309419575,-32.93380679537952,2.5065659129621353e-07,0.024521428733058157,1,1,,
ENSG00000048828.16,FAM120A,5.126190570523983,623.7005652277676,2.956633441268578e-07,6.755184569212903e-05,1,1,,
ENSG00000182272.11,B4GALNT4,5.095767558890048,24.22100781281682,3.473310834641873e-07,0.044262383812067,1,1,,
ENSG00000198315.10,ZKSCAN8,5.077620048149749,27.02295295706751,3.821920227577951e-07,0.03530650995468356,1,1,,
ENSG00000162148.10,PPP1R32,5.062269167136963,110.84615947941212,4.1429553567958613e-07,0.002085687151086921,1,1,,
ENSG00000148842.17,CNNM2,-5.058251619433153,-24.91201343613052,4.231178993352713e-07,0.04122713919329013,1,1,,
ENSG00000260100.1,RP11-220I1.5,5.030904559296655,268.483966966445,4.881711293187163e-07,0.0003511199004775289,1,1,,
ENSG00000164076.16,CAMKV,-5.000404289668743,-1660.469627219745,5.721022273150824e-07,9.06876955138636e-06,1,1,,
ENSG00000220205.8,VAMP2,4.982955267781761,21.309041686024003,6.262043101053807e-07,0.05468222015272304,2,2,,
ENSG00000225518.2,LINC01703,4.952602064652363,16.741228454805587,7.32276255960067e-07,0.08751695986704097,2,2,,
ENSG00000106400.11,ZNHIT1,4.93715336422897,28.385326463506463,7.927113209140209e-07,0.03025279114363363,2,2,,
ENSG00000124228.14,DDX27,4.913435665291856,48.628146921807314,8.949410791377326e-07,0.010209279825236603,1,2,,
ENSG00000168273.7,SMIM4,-4.819053418004687,-641.2955583430862,1.442409337909284e-06,5.646859950483962e-05,1,1,,
ENSG00000150961.14,SEC24D,4.76057835575568,66.56159538161417,1.9303896897207026e-06,0.0051153103739209034,1,1,,
ENSG00000010626.14,LRRC23,4.759445179969358,13.692081424936035,1.941258404626572e-06,0.12082970397711576,2,2,,
ENSG00000164099.3,PRSS12,4.750455507758085,77.48510187638452,2.029589479449049e-06,0.003758669094699946,1,2,,
ENSG00000180596.7,HIST1H2BC,-4.736310671856876,-101.2508154548067,2.176438716863471e-06,0.002188181308497087,1,1,,
ENSG00000163938.16,GNL3,4.708959405570235,20.0176297806191,2.4898464793259603e-06,0.0553381437758018,2,2,,
ENSG00000196968.10,FUT11,4.708388808841667,14.5687941432764,2.496825028183244e-06,0.10444734959372669,1,1,,
ENSG00000170633.16,RNF34,4.705081422061109,43.54471039791976,2.5376465528816897e-06,0.011675177007195404,1,2,,
ENSG00000254531.1,FLJ20021,-4.701580844131327,-16.3904279040103,2.5815501472679e-06,0.08228245346734382,2,2,,
ENSG00000135390.17,ATP5G2,4.682940099556517,10.709866651872824,2.8278917151792455e-06,0.19119171918676223,2,2,,
ENSG00000197279.3,ZNF165,-4.65553482940866,-74.7147374155255,3.2314077177810923e-06,0.0038826354117692157,1,1,,
ENSG00000204427.11,ABHD16A,4.64441182175224,493.85934648911206,3.4104667019140964e-06,8.844125341461453e-05,1,1,,
ENSG00000146066.2,HIGD2A,4.642415822122404,34.71969243566572,3.443589494728247e-06,0.01787871645342525,1,1,,
ENSG00000049449.8,RCN1,4.605262161902263,528.6872878597542,4.119465615537137e-06,7.587714477541745e-05,1,1,,
ENSG00000166529.14,ZSCAN21,-4.580757871335936,-11.852460430948836,4.632939740841017e-06,0.14936802714156908,1,1,,
ENSG00000007372.21,PAX6,4.550827463468414,10162.064736753298,5.343535320758992e-06,2.0054730313780947e-07,1,1,,
ENSG00000052795.12,FNIP2,-4.546370524847034,-29.529855349069642,5.45789187312608e-06,0.02370320189246096,2,2,,
ENSG00000139433.9,GLTP,-4.515806053820414,-18.90764114052832,6.307637456942961e-06,0.05704214666549226,2,2,,
ENSG00000081138.13,CDH7,-4.484535306688402,-7956101424.637256,7.3073006535715076e-06,3.177124790830507e-19,1,1,,
ENSG00000145388.14,METTL14,-4.4841330081905735,-14.242669232233109,7.3210987684855666e-06,0.09912294468927803,1,1,,
ENSG00000176978.13,DPP7,-4.450747245393991,-14.090834816791693,8.55720100674091e-06,0.09976826409335404,2,2,,
ENSG00000138430.15,OLA1,4.449881393724609,10106.843281206826,8.591772496733764e-06,1.9385000122247027e-07,1,1,,
ENSG00000125851.9,PCSK2,4.441800402028409,109.65529677926095,8.920929292262405e-06,0.0016408120955977582,2,2,,
ENSG00000168056.15,LTBP3,4.439831671676501,51.15790482013604,9.002926691949743e-06,0.0075319514283840655,1,2,,
ENSG00000204410.14,MSH5,4.438121995467032,31.448923202296417,9.074718316553e-06,0.01991530270975101,1,1,,
ENSG00000177239.14,MAN1B1,-4.410876766443453,-25.387805708435376,1.0295290100897591e-05,0.030185579424274626,1,1,,
ENSG00000086189.9,DIMT1,4.395359455418693,458.3786106640842,1.1058959800452481e-05,9.194753855835245e-05,1,1,,
ENSG00000204444.10,APOM,4.370839663280381,29.332104712258015,1.2376965612479593e-05,0.022204617556500803,2,2,,
ENSG00000159692.15,CTBP1,4.355072920598328,37.051750229806125,1.3302262856270493e-05,0.013815716306433697,1,1,,
ENSG00000114904.12,NEK4,4.322378052618377,52.93017365972686,1.5435640253678353e-05,0.006668664381854993,1,1,,
ENSG00000125618.16,PAX8,4.297031780398635,4.853082708745193,1.7310038569473812e-05,0.7839741549977814,2,2,,
ENSG00000119414.11,PPP6C,4.282332830778906,33.47623168387017,1.8494406772347132e-05,0.016363933544039734,1,1,,
ENSG00000115514.11,TXNDC9,-4.256998256255283,-57.423289106649,2.0718997099359737e-05,0.005495798681420916,1,1,,
ENSG00000269489.1,RP11-98D18.17,4.233652245313102,21.86393371193779,2.2992640028761803e-05,0.03749503470739423,1,1,,
ENSG00000204540.10,PSORS1C1,4.233006377714567,5.020540675825583,2.3058796334941374e-05,0.7108809324599703,2,2,,
ENSG00000213639.9,PPP1CB,4.227739199407668,11.168190889196914,2.36051172528916e-05,0.14330149481022303,2,2,,
ENSG00000111674.8,ENO2,-4.223287150631327,-382.37312863886604,2.4076474700565638e-05,0.00012199063531677597,1,1,,
ENSG00000271952.1,LINC01954,4.2182762972942855,5.724000153218269,2.461770443889584e-05,0.5430887066323283,1,1,,
ENSG00000184349.12,EFNA5,4.216504386121943,68.03724601540807,2.481184636638677e-05,0.0038407112776956374,1,1,,
ENSG00000116871.15,MAP7D1,4.206407267899896,129.8143630911224,2.5946247626962503e-05,0.0010499706140907603,1,1,,
ENSG00000054116.11,TRAPPC3,4.206407267899896,65.73780614562052,2.5946247626962503e-05,0.004094418450175235,1,1,,
ENSG00000185909.14,KLHDC8B,4.199016458350713,57.30521898268323,2.6807683746360694e-05,0.0053691656228697215,2,2,,
ENSG00000188338.14,SLC38A3,-4.191998546713326,-49.05360754540519,2.7650776819831417e-05,0.007302983887798145,1,2,,
ENSG00000110921.13,MVK,4.187443769692664,34.099458430154996,2.8211388458563305e-05,0.015080058051457769,1,2,,
ENSG00000155363.18,MOV10,-4.180041303329277,-51.71955384617057,2.91456153349839e-05,0.006532081677532459,1,1,,
ENSG00000117410.13,ATP6V0B,4.172486580639775,465.1044017519421,3.0129334973468233e-05,8.048019088720774e-05,1,2,,
ENSG00000139428.11,MMAB,-4.172244966838181,-19.736929371474968,3.016131100097192e-05,0.04468692025316105,1,2,,
ENSG00000137312.14,FLOT1,-4.162769232842206,-9.614961458533108,3.1441108246113346e-05,0.18744315112120463,2,2,,
ENSG00000103449.11,SALL1,-4.1503576243563485,-63.982835797465135,3.319562038549232e-05,0.0042076932490023675,1,1,,
ENSG00000134461.15,ANKRD16,4.128309106406677,44.14987809045425,3.65440643030736e-05,0.00874350167737198,1,1,,
ENSG00000272479.1,RP11-301G7.1,-4.125769586798756,-22.355029460357688,3.694970653204343e-05,0.03406116100452481,1,1,,
ENSG00000234902.6,AC007879.2,-4.12149162943242,-29.19680465300507,3.7642715096693384e-05,0.019926829094363514,2,2,,
ENSG00000187049.9,TMEM216,-4.118233483020971,-6.583240300244889,3.817877771402204e-05,0.3913294339651064,2,2,,
ENSG00000154822.17,PLCL2,-4.118094010533415,-41.69041972956539,3.820188608603395e-05,0.009757082529589104,1,1,,
ENSG00000166896.7,ATP23,4.115208660212498,5.160863127913698,3.86829316289765e-05,0.6358271072245534,1,1,,
ENSG00000079819.18,EPB41L2,-4.096873734913614,-26.315878268187316,4.187671629068808e-05,0.024236473076087024,1,1,,
ENSG00000177150.12,FAM210A,-4.094927930305367,-103.03859608782386,4.222997315410504e-05,0.0015794019136791953,1,1,,
ENSG00000187164.19,SHTN1,-4.090244704921496,-310.0886200215459,4.3091830074647714e-05,0.0001739910566405973,1,1,,
ENSG00000152219.4,ARL14EP,-4.083682371707779,-14.531418390112426,4.4327610673112526e-05,0.07897468390237987,2,2,,
ENSG00000131023.12,LATS1,4.081640056542613,23.52079880562957,4.47190163985391e-05,0.030113779960893133,2,2,,
ENSG00000181315.10,ZNF322,-4.064607088947889,-8.477120304893193,4.811344450741425e-05,0.22990078138784578,1,2,,
ENSG00000105726.16,ATP13A1,-4.064152977910368,-355.5915980068941,4.8207202158752115e-05,0.00013062825095295772,1,2,,
ENSG00000166682.10,TMPRSS5,-4.06024999310557,-4.846839256596359,4.902020140705236e-05,0.7017595233940335,1,1,,
ENSG00000198911.11,SREBF2,4.039435833420031,63.32019543692044,5.357992321095148e-05,0.0040696488172008325,2,2,,
ENSG00000163050.16,COQ8A,-4.032751362233945,-54.239014723469744,5.5127598095374634e-05,0.0055281435207665906,1,1,,
ENSG00000198160.14,MIER1,-4.028264108429042,-24.847957206095398,5.6190200825264386e-05,0.02628176288696771,1,1,,
ENSG00000124201.14,ZNFX1,-4.028096682805604,-54.020003748752636,5.623022103251343e-05,0.005560201774399722,2,2,,
ENSG00000100393.12,EP300,4.027152044314169,41.11594267707547,5.645652697030575e-05,0.009593466192365428,1,1,,
ENSG00000164078.12,MST1R,4.000892489368602,15.61665976742613,6.310402548657419e-05,0.065635298601615,1,2,,
ENSG00000138030.12,KHK,-4.000497449127785,-13.932580771164368,6.320946859392286e-05,0.08244510144353868,1,1,,
ENSG00000160208.12,RRP1B,4.000497449127785,138.74510913467853,6.320946859392286e-05,0.0008313667092769651,1,1,,
ENSG00000160207.8,HSF2BP,4.000497449127785,17.7747447534946,6.320946859392286e-05,0.050654875204590444,1,1,,
ENSG00000135312.6,HTR1B,3.989435547214303,18.14204602030251,6.623071203425924e-05,0.04835600096620313,2,2,,
ENSG00000159409.14,CELF3,3.977789803668631,164.44367154585788,6.955881921437604e-05,0.0005851259118063946,1,1,,
ENSG00000243147.7,MRPL33,3.974601467715328,188.47303747762675,7.049720274587185e-05,0.0004447221058804303,1,1,,
ENSG00000156735.10,BAG4,-3.9727179752387904,-2029.3638651995784,7.105716162683413e-05,3.832265811070008e-06,1,2,,
ENSG00000277692.1,RP11-358N2.2,-3.969030469730354,-35.244091901193926,7.216565465810656e-05,0.012682247250210457,1,1,,
ENSG00000180263.13,FGD6,3.942033103630369,88.84491926034474,8.07938219192022e-05,0.001968680954933401,2,2,,
ENSG00000175216.14,CKAP5,3.93070652915263,87.20084232548089,8.469660313016168e-05,0.0020318885364865456,1,1,,
ENSG00000273342.1,KB-1440D3.14,3.924042026581039,289.1423423717041,8.707553496751452e-05,0.0001841806113326434,1,1,,
ENSG00000165046.12,LETM2,-3.922152724613266,-45.560007036662846,8.776133238068587e-05,0.007411078890339212,1,1,,
ENSG00000221838.9,AP4M1,3.912101835037781,17.0479243863545,9.149631208149444e-05,0.05265956674624879,1,2,,
ENSG00000173575.20,CHD2,3.9105368930494446,45.90793956584958,9.209119215955728e-05,0.007255998302922159,2,2,,
ENSG00000141452.9,C18orf8,3.894009869579726,14.141708453103414,9.860063521097075e-05,0.07582114468766855,2,2,,
ENSG00000196812.4,ZSCAN16,3.8910513913751363,33.254312220484714,9.98107881515869e-05,0.013691089000036356,2,2,,
ENSG00000169918.9,OTUD7A,-3.8792702536996715,-13.550292300168014,0.00010477030276915422,0.08196015010943447,1,2,,
ENSG00000089351.14,GRAMD1A,-3.871359386853004,-12.846968021785822,0.00010823008402241668,0.09080833090356863,2,2,,
ENSG00000213390.10,ARHGAP19,-3.8702382043924928,-29.55173209271436,0.00010872906210709377,0.01715179232223368,1,2,,
ENSG00000182600.9,C2orf82,-3.854049816757993,-7.373465606467563,0.00011617994003451022,0.27320669037836576,1,1,,
ENSG00000272092.1,RP11-350N15.5,3.8494491084406808,22.298939289279982,0.0001183837759524346,0.02980085707513846,2,2,,
ENSG00000250377.1,CTC-467M3.3,-3.844332684013589,-33.56165080814522,0.00012088092583415285,0.013120648439549932,1,1,,
ENSG00000183578.6,TNFAIP8L3,-3.838881051092665,-62.23358323257454,0.0001235962856765696,0.0038050441202492754,1,1,,
ENSG00000166165.12,CKB,-3.8345224934436333,-42.02233429408392,0.00012580845964914943,0.008326495137440885,1,1,,
ENSG00000111671.9,SPSB2,3.8285200180047214,4.688472384476086,0.00012891614706919154,0.6668054177533662,1,1,,
ENSG00000183172.8,SMDT1,-3.8201970379784784,-10.109195160680263,0.00013334510597238865,0.14280334008166912,2,2,,
ENSG00000136828.18,RALGPS1,-3.8108444266977366,-135.3215016220561,0.00013849290729869441,0.0007930650705022816,1,2,,
ENSG00000069482.6,GAL,-3.8043842024962538,-71.26270516648599,0.00014215739314196672,0.0028499952129184027,1,1,,
ENSG00000172354.9,GNB2,-3.803801201406395,-22.15381034845293,0.0001424925479472277,0.029480765445294016,2,2,,
ENSG00000134780.9,DAGLA,-3.7994366125685044,-376.0462198399726,0.0001450253986705558,0.00010208359412300977,1,1,,
ENSG00000127804.12,METTL16,3.794966281036292,11.328842114635952,0.00014766352320192718,0.1122134188561041,1,1,,
ENSG00000117640.17,MTFR1L,-3.7948560542562144,-14.380065648982825,0.00014772913978328156,0.06964162182608492,1,1,,
ENSG00000267414.1,RP11-456K23.1,3.7903237659851965,39.97869524328531,0.00015045104808909343,0.008988668927172469,1,2,,
ENSG00000050426.15,LETMD1,3.782927521592115,14.27007849814168,0.00015499455791647166,0.07027539848724429,2,2,,
ENSG00000198218.10,QRICH1,3.7735050792144436,10.870396385033605,0.00016096994068551498,0.12050334882757063,2,2,,
ENSG00000014641.17,MDH1,3.765174069767328,350.85122893894584,0.00016643309501524788,0.00011516595519816499,1,1,,
ENSG00000166689.15,PLEKHA7,3.7565213141064526,136.62902505606547,0.0001722916037695477,0.0007559373014053738,1,1,,
ENSG00000177752.14,YIPF7,-3.750541731749104,-11.072632383736812,0.00017645293364646346,0.11473244311108681,1,2,,
ENSG00000026950.16,BTN3A1,-3.7485111883736786,-11.361288435721594,0.00017788740338727012,0.10885852652580222,2,2,,
ENSG00000165282.13,PIGO,3.740963176020381,16.524787025788925,0.00018331638095596877,0.051250148091537565,1,1,,
ENSG00000122574.10,WIPF3,3.7404433919944555,22.790240010950125,0.00018369591599940816,0.02693694721318176,2,2,,
ENSG00000138095.18,LRPPRC,-3.7366869098641664,-8.24862551205432,0.00018646085833102206,0.20521554113348972,2,2,,
ENSG00000223768.1,LINC00205,-3.736505105213928,-3.712383709934283,0.00018659566232712211,1.0130373162609687,1,2,,
ENSG00000205060.10,SLC35B4,3.728483168534576,28.78136481866168,0.00019263577237985653,0.01678191839544432,1,1,,
ENSG00000065621.14,GSTO2,3.72465481878906,4.0679147638289574,0.00019558265360280306,0.8383557990842276,2,2,,
ENSG00000086205.16,FOLH1,3.719051846873848,19.502802439802274,0.0001999720063497978,0.03636389732136811,1,2,,
ENSG00000144792.9,ZNF660,-3.715674856667938,-4.609369228008777,0.00020266205617021214,0.6498190082803724,2,2,,
ENSG00000051825.14,MPHOSPH9,-3.703639204997973,-40.43142047362251,0.00021252847076010052,0.008391108681686387,1,1,,
ENSG00000110237.3,ARHGEF17,-3.701563007834193,-193.5469840832057,0.0002142754299418625,0.00036576106720378457,1,1,,
ENSG00000149295.13,DRD2,-3.677239427788244,-303.38150304014255,0.00023577172019125612,0.00014691482387069573,1,2,,
ENSG00000278376.1,RP11-158I9.8,3.6662042922778566,5.564817979311286,0.0002461772863080169,0.43404164034037196,2,2,,
ENSG00000111676.14,ATN1,-3.6659755643139467,-23.15390252837914,0.0002463974540323376,0.02506863749488434,1,1,,
ENSG00000188938.15,FAM120AOS,-3.665766185989451,-25.710245268014067,0.0002465991581971018,0.020329049919088783,2,2,,
ENSG00000105928.13,DFNA5,3.665618468858496,5.318641083760551,0.00024674155435044703,0.47499949960130816,1,1,,
ENSG00000271789.1,RP5-1112D6.7,3.665618468858496,14.691416771531157,0.00024674155435044703,0.06225398572001966,1,1,,
ENSG00000166359.10,WDR88,3.665618468858496,25.304244747765324,0.00024674155435044703,0.02098494140902812,1,1,,
ENSG00000103404.14,USP31,-3.6602259400801556,-24.924322165195676,0.0002519929499470908,0.021565973971163856,1,1,,
ENSG00000117400.16,MPL,3.657597667773975,96.0806325394875,0.00025459026024790587,0.0014491727414844666,1,1,,
ENSG00000151148.13,UBE3B,3.6556569663552425,13.566722998715674,0.0002565241892066236,0.07260741199194026,1,2,,
ENSG00000241258.6,CRCP,-3.6525945996711346,-8.265888121720435,0.00025960391072667914,0.19526477246048787,2,2,,
ENSG00000256591.5,RP11-286N22.8,-3.650251126190706,-18.31606958657468,0.0002619840440601207,0.0397174097697138,2,2,,
ENSG00000102572.14,STK24,3.6501926493753043,62.06991508385457,0.00026204369645942805,0.0034583525981371883,2,2,,
