gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000233276.3,GPX1,9.583573846813342,28.153808483422726,9.374375289367994e-22,0.11587258170210478,2,2,,
ENSG00000114316.12,USP4,-7.742705680490773,-3961.397495841138,9.732315292156009e-15,3.820222485788701e-06,1,1,,
ENSG00000145020.15,AMT,-7.278795971287881,-20.450491025700064,3.368126147779288e-13,0.12668103761217425,1,1,,
ENSG00000177352.9,CCDC71,7.093870475242457,26.745185703205514,1.3041219564499071e-12,0.07035180972209207,1,1,,
ENSG00000173421.16,CCDC36,-7.06332037794662,-41.39524050825606,1.6257030847972243e-12,0.029115013138354517,1,1,,
ENSG00000149292.16,TTC12,7.030532479052149,6.391188748718017,2.0574682243040773e-12,1.21007740186489,3,4,,
ENSG00000101017.13,CD40,-6.973908139897907,-23.182004865852118,3.082554008293969e-12,0.09050039189207743,2,2,,
ENSG00000048828.16,FAM120A,-6.884759709817503,-213.37082336876958,5.7885158801060095e-12,0.0010411361069970868,2,2,,
ENSG00000149485.18,FADS1,-6.846156280463735,-27.412546412509027,7.586060476035804e-12,0.06237274499012309,2,2,,
ENSG00000100395.14,L3MBTL2,6.823180736036163,63.84958014451581,8.9046508314781e-12,0.011419777935444455,1,1,,
ENSG00000233822.4,HIST1H2BN,6.704084236962496,45.57094810836847,2.0267332840178214e-11,0.021642269297373156,1,1,,
ENSG00000272468.1,RP1-86C11.7,6.396468167951198,3414.4160528504613,1.590119631355201e-10,3.5095190711009243e-06,1,1,,
ENSG00000165379.13,LRFN5,-6.375152424274598,-1504.5386815676075,1.8278107222669638e-10,1.7954546077206868e-05,1,1,,
ENSG00000265055.1,AC145343.2,6.208956214105914,44.50054239029514,5.333768027258436e-10,0.01946733873058908,2,2,,
ENSG00000168273.7,SMIM4,-6.170859385456809,-216.52498190161978,6.791980634583494e-10,0.0008122229912018639,2,2,,
ENSG00000166896.7,ATP23,6.125058498406224,6.056947255232343,9.065029521472548e-10,1.0226167409591822,2,2,,
ENSG00000143801.16,PSEN2,6.000628516019881,36.3961911645945,1.965552094102294e-09,0.027182012520246365,1,1,,
ENSG00000168439.16,STIP1,-5.976772990676535,-164.65526969441817,2.276010065201609e-09,0.0013175959535241478,1,1,,
ENSG00000164068.15,RNF123,5.935381563020491,43.62365986041529,2.9316289140723306e-09,0.01851198926515198,1,1,,
ENSG00000225399.4,RP11-3B7.1,-5.8492431074234625,-30.24287562857143,4.9381490420188855e-09,0.03740702561248792,1,1,,
ENSG00000100399.15,CHADL,5.558899853082493,185.07458832384282,2.7148040525094414e-08,0.000902161139612046,1,1,,
ENSG00000182481.8,KPNA2,-5.5401252911688665,-44.67586340563045,3.022553183119143e-08,0.015377766569701815,1,1,,
ENSG00000100403.11,ZC3H7B,5.502683537540952,36.86035418872236,3.740534924000201e-08,0.022285894280778422,2,2,,
ENSG00000213533.11,TMEM110,-5.416353731682095,-27.03232640027678,6.082670645378288e-08,0.04014645420440031,1,1,,
ENSG00000134824.13,FADS2,5.394128674395943,183.13969003159076,6.885686271961816e-08,0.0008675163220716815,1,1,,
ENSG00000055955.15,ITIH4,-5.384682877305722,-7.467853530296816,7.257248455047532e-08,0.5199106093445821,2,3,,
ENSG00000110536.13,PTPMT1,5.336206177020447,40.29639673768877,9.491147416160857e-08,0.017536090376121135,2,2,,
ENSG00000142599.17,RERE,-5.3148423999033225,-33.82509732009509,1.0674967695552359e-07,0.024688952968816104,1,1,,
ENSG00000272573.5,MUSTN1,-5.305909250666994,-47.55798801404646,1.1211272743663334e-07,0.012447229279132348,1,2,,
ENSG00000220205.8,VAMP2,5.299426096881773,27.539999343697747,1.1616724438318267e-07,0.03702796367604759,2,2,,
ENSG00000139734.17,DIAPH3,-5.284188881791444,-24.427692503341724,1.262629279080098e-07,0.04679417307313546,2,3,,
ENSG00000094916.15,CBX5,5.274018983660681,23.048041439522397,1.3346809211227777e-07,0.05236189134319988,2,2,,
ENSG00000168071.21,CCDC88B,5.268817518641709,14.241903442239492,1.3730537499730973e-07,0.13686431898471005,2,2,,
ENSG00000221883.2,ARIH2OS,5.249411961212796,296.9259393107418,1.5258550076897833e-07,0.0003125539810489903,1,1,,
ENSG00000198315.10,ZKSCAN8,5.249018138136555,22.46388838333377,1.5291202097104437e-07,0.0545992003103145,2,2,,
ENSG00000166170.9,BAG5,5.220981828979423,64.93400597976733,1.779770057183657e-07,0.006464872587895562,1,1,,
ENSG00000149187.17,CELF1,5.215881455059966,117.3327962446076,1.82945153503591e-07,0.0019761348767258114,2,2,,
ENSG00000168237.17,GLYCTK,5.1934520933624775,17.671204021995784,2.06430079359029e-07,0.086373392473044,1,2,,
ENSG00000188906.14,LRRK2,-5.191788745261436,-31.383172262441192,2.082832560342892e-07,0.027367828768100094,2,2,,
