gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000233276.3,GPX1,7.687085156898126,36.21288765856709,1.505249524097519e-14,0.045060610314202894,1,2,,
ENSG00000145020.15,AMT,-7.628671951416106,-15.536901778731618,2.371843311278526e-14,0.24108436109712073,1,1,,
ENSG00000170837.2,GPR27,7.531714933132374,18.603555697231005,5.007819487462402e-14,0.1639063693743239,2,2,,
ENSG00000101489.19,CELF4,7.416791304876825,1652.9547007825947,1.199917931376102e-13,2.0133079759639894e-05,2,2,,
ENSG00000124140.13,SLC12A5,7.119026087299224,78.83735293655737,1.086923384928683e-12,0.008154120048643541,1,1,,
ENSG00000177352.9,CCDC71,7.093870475242457,33.20416118628816,1.3041219564499071e-12,0.04564376726472101,1,1,,
ENSG00000173421.16,CCDC36,-7.06332037794662,-33.29177903193695,1.6257030847972243e-12,0.04501360586714966,1,2,,
ENSG00000101017.13,CD40,-6.95878057109704,-21.044541359608125,3.43230621033755e-12,0.10934208574276408,2,2,,
ENSG00000145388.14,METTL14,-6.7672131104714675,-12.001693912038856,1.3128662957809599e-11,0.3179322721319614,3,3,,
ENSG00000111679.16,PTPN6,6.298281887539403,186.2382144814619,3.009628315977271e-10,0.0011436854332958564,2,2,,
ENSG00000186470.13,BTN3A2,6.2519719384341,6.019565033621278,4.053022308937458e-10,1.0787077985464701,2,3,,
ENSG00000164078.12,MST1R,6.192562420543075,12.499366114322163,5.919389522407568e-10,0.24545100115554216,2,3,,
ENSG00000137338.5,PGBD1,-6.124565663450235,-32.255961211542136,9.093130868092734e-10,0.036052103905014225,1,1,,
ENSG00000141452.9,C18orf8,6.012419877073704,13.342117864426314,1.827741756184955e-09,0.20307153799436045,2,2,,
ENSG00000041353.9,RAB27B,5.999449651580026,195.0535403532255,1.9798740486569905e-09,0.0009460523113662099,1,1,,
ENSG00000149485.18,FADS1,-5.999425998744425,-21.25795992305011,1.9801624434591924e-09,0.07964824919174052,1,2,,
ENSG00000164068.15,RNF123,5.935381563020491,40.18184302923053,2.9316289140723306e-09,0.021819137600972063,1,1,,
ENSG00000054967.12,RELT,5.895348498749416,23.354779130198132,3.738914197095467e-09,0.06371877786902913,2,2,,
ENSG00000119616.11,FCF1,5.881954854908815,98.06236136728809,4.05448944375926e-09,0.0035978137718279297,1,1,,
ENSG00000100403.11,ZC3H7B,5.817878373473157,43.406947239361784,5.95992408502002e-09,0.017964320250128292,2,2,,
ENSG00000172575.11,RASGRP1,-5.788499439972664,-96.94762951327786,7.10179855088525e-09,0.0035649841407365424,1,1,,
ENSG00000231453.1,LINC01305,-5.774356810193322,-128.38571421343335,7.724758815116586e-09,0.0020228972774969005,2,2,,
ENSG00000096654.15,ZNF184,-5.771944261702616,-20.965059768982947,7.836203951909543e-09,0.07579700533002198,2,2,,
ENSG00000159692.15,CTBP1,5.770288251807766,28.7180919071452,7.913604803448816e-09,0.040372333785874084,2,2,,
ENSG00000204410.14,MSH5,5.756283844964869,34.34548840731529,8.598575968982231e-09,0.028089564689204784,2,2,,
ENSG00000067560.10,RHOA,5.695616540704825,342.59093000772003,1.2292688253972059e-08,0.00027639473326794355,1,1,,
ENSG00000166896.7,ATP23,5.599474007999708,5.28452680538502,2.1500316575933192e-08,1.122747911204514,2,2,,
