gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000233276.3,GPX1,9.559990441283263,26.9019337681781,1.1776758107689034e-21,0.12628388027182266,2,3,,
ENSG00000145029.13,NICN1,7.656489252965108,75.3590770551057,1.9108473807952864e-14,0.01032257894013723,1,2,,
ENSG00000145020.15,AMT,-7.27879597128788,-17.50709306532596,3.3681261477793136e-13,0.17285860795397456,1,1,,
ENSG00000100403.11,ZC3H7B,7.132270358055891,48.50066379126056,9.87267082170036e-13,0.02162520482624849,3,3,,
ENSG00000173611.17,SCAI,7.102090699548344,78.03689804923427,1.2288353628397067e-12,0.008282709559379582,2,2,,
ENSG00000177352.9,CCDC71,7.093870475242456,25.132393743677017,1.3041219564499071e-12,0.079670730447119,1,1,,
ENSG00000173421.16,CCDC36,-7.06332037794662,-43.57467159492872,1.6257030847972243e-12,0.02627541387210882,1,1,,
ENSG00000156599.10,ZDHHC5,-7.063320377946619,-93.55406852499488,1.6257030847972356e-12,0.005700230961300717,1,2,,
ENSG00000258636.1,CTD-2298J14.2,-6.93531164943118,-53.30120708848204,4.053266021548598e-12,0.016930035716630692,1,1,,
ENSG00000101017.13,CD40,-6.909288476062466,-19.605488216591958,4.870905578378518e-12,0.12419706368558434,3,3,,
ENSG00000100372.14,SLC25A17,6.457892916979767,251.72790085658733,1.0617082113260942e-10,0.0006581410355919499,1,1,,
ENSG00000048828.16,FAM120A,-6.279567140132736,-239.07518579281114,3.3951695548389483e-10,0.0006899067792845876,1,1,,
ENSG00000198315.10,ZKSCAN8,6.2327219821348345,22.233370880674876,4.5839929405527087e-10,0.07858594590803655,2,2,,
ENSG00000186470.13,BTN3A2,6.1910984906355315,6.566814829095313,5.974636036945677e-10,0.8888446967264377,2,2,,
ENSG00000051825.14,MPHOSPH9,-6.054400303440913,-65.72035417015233,1.4094173013197545e-09,0.008486770808604561,2,2,,
ENSG00000041353.9,RAB27B,5.999449651580026,158.81168089760388,1.9798740486569905e-09,0.0014271116161156986,1,1,,
ENSG00000168439.16,STIP1,-5.976772990676535,-207.30848545158517,2.276010065201609e-09,0.0008311881902798116,1,1,,
ENSG00000166166.12,TRMT61A,5.970521632281507,40.88414934752136,2.3649622203904884e-09,0.02132625610352152,1,1,,
ENSG00000178057.14,NDUFAF3,-5.889890625284335,-56.334515071803324,3.864513025694038e-09,0.010931137056451426,1,1,,
ENSG00000149485.18,FADS1,-5.875664675811304,-21.0282389501456,4.211500657237807e-09,0.0780743178657388,1,2,,
ENSG00000100197.20,CYP2D6,-5.823566589695637,-5.608131524680773,5.7604846883392934e-09,1.078305228023293,3,3,,
ENSG00000143801.16,PSEN2,5.7397929594925,29.170574750325702,9.479236826912094e-09,0.03871706986133644,2,2,,
ENSG00000164068.15,RNF123,5.710446488066162,40.53754643271982,1.1268016373419523e-08,0.019843817034424817,1,1,,
ENSG00000271755.1,RP1-153G14.4,5.708273721190054,20.40388028174153,1.1412777605643477e-08,0.07826796584443722,1,1,,
ENSG00000141452.9,C18orf8,5.706293553745404,12.16998446716469,1.1546279783670164e-08,0.21985086136150556,3,3,,
