gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000226913.1,BSN-AS2,7.7705118824079875,36.62517045343248,7.816957932085283e-15,0.045013206269664645,1,1,,
ENSG00000114316.12,USP4,7.742705680490774,10661.503585329154,9.73231529215594e-15,5.274102760657221e-07,1,1,,
ENSG00000145029.13,NICN1,7.656489252965107,964.333729353923,1.9108473807952864e-14,6.303832137498142e-05,1,2,,
ENSG00000145020.15,AMT,-7.278795971287881,-19.449710159509355,3.368126147779288e-13,0.14005313168755723,1,1,,
ENSG00000067560.10,RHOA,7.221965519060224,636.9226474849711,5.124146761793777e-13,0.00012856934690927952,1,1,,
ENSG00000124140.13,SLC12A5,7.119026087299224,105.98178444400826,1.086923384928683e-12,0.0045120999734212,1,1,,
ENSG00000177352.9,CCDC71,7.093870475242457,30.688132878111375,1.3041219564499071e-12,0.05343497089639982,1,1,,
ENSG00000156599.10,ZDHHC5,-7.06332037794662,-2040.9168528002513,1.6257030847972243e-12,1.1977527788114181e-05,1,2,,
ENSG00000173421.16,CCDC36,-7.06332037794662,-28.277481711250537,1.6257030847972243e-12,0.062393069314374223,1,2,,
ENSG00000119414.11,PPP6C,6.985516636784323,34.393069470802516,2.838096261987205e-12,0.04125296693979706,2,2,,
ENSG00000101017.13,CD40,-6.946453026680144,-20.625725638053446,3.745845745028029e-12,0.1134247246249816,2,2,,
ENSG00000172260.14,NEGR1,6.926701102853171,60.73426120659843,4.3076737416855235e-12,0.013007247060228063,1,2,,
ENSG00000233822.4,HIST1H2BN,6.704084236962496,44.76896344754916,2.0267332840178214e-11,0.022424607325973865,1,1,,
ENSG00000149485.18,FADS1,-6.687927197310244,-20.428551491974332,2.2635368580896633e-11,0.10717856215231392,2,2,,
ENSG00000135945.9,REV1,-6.650215494574948,-49.624154157794386,2.9266420313947626e-11,0.017959126203072183,2,2,,
ENSG00000272468.1,RP1-86C11.7,-6.396468167951198,-99574.55188695586,1.590119631355201e-10,4.126518197477208e-09,1,1,,
ENSG00000165379.13,LRFN5,-6.375152424274598,-368.8208588850073,1.8278107222669638e-10,0.0002987790870743035,1,1,,
ENSG00000261353.1,CTA-14H9.5,6.314312752960758,58.9994339505144,2.713646600117101e-10,0.011453981785105306,1,1,,
ENSG00000186470.13,BTN3A2,6.306460904809279,6.348165820906936,2.854880484571813e-10,0.9869039577911112,2,2,,
ENSG00000048828.16,FAM120A,6.279567140132736,1086.5725103373331,3.3951695548389483e-10,3.339965567149942e-05,1,1,,
ENSG00000134825.15,TMEM258,6.164316427188611,35.9867054967158,7.078826423926124e-10,0.029341726738949227,2,2,,
ENSG00000188906.14,LRRK2,-6.11595761479165,-30.536411845858822,9.597883527218863e-10,0.04011371875845917,2,2,,
ENSG00000168439.16,STIP1,-5.976772990676535,-184.82401156436973,2.276010065201609e-09,0.001045723185197309,1,1,,
ENSG00000164068.15,RNF123,5.935381563020491,41.871410766438764,2.9316289140723306e-09,0.020093801104539264,1,1,,
ENSG00000168071.21,CCDC88B,5.914501600766743,21.11652953604691,3.3288200076885756e-09,0.07844968768025949,2,2,,
ENSG00000178467.17,P4HTM,-5.859974526314705,-46.69630708868167,4.629381797550541e-09,0.015748035441436894,1,1,,
ENSG00000233276.3,GPX1,5.72649609226164,40.5831158404313,1.0252612273709594e-08,0.01991072902996726,1,2,,
ENSG00000197062.11,ZSCAN26,5.678926296916948,9.090758511535423,1.3554286340087178e-08,0.3902403945852175,2,2,,
ENSG00000271755.1,RP1-153G14.4,5.64589520520709,25.410589701778843,1.6432392224142157e-08,0.049366932005751415,1,1,,
ENSG00000166896.7,ATP23,5.604880803523796,7.175594527407129,2.0839833008966843e-08,0.6101224172394342,2,2,,
ENSG00000182481.8,KPNA2,-5.5401252911688665,-66.5778610352707,3.022553183119143e-08,0.006924357726292951,1,1,,
ENSG00000100403.11,ZC3H7B,5.5377042189928485,60.66450554802257,3.064622505813986e-08,0.008332785191682172,2,2,,
ENSG00000114204.14,SERPINI2,-5.508088065562429,-16.06023401222767,3.6275193339489354e-08,0.1176245601788603,2,2,,
ENSG00000149187.17,CELF1,5.506753725694747,203.35621249499528,3.655110228064069e-08,0.0007332911092994087,2,2,,
ENSG00000110536.13,PTPMT1,5.440095027102543,26.894497580001204,5.325215889913449e-08,0.04091533400515451,2,2,,
ENSG00000213533.11,TMEM110,-5.416353731682095,-27.380581674442308,6.082670645378288e-08,0.039131698519143346,1,1,,
ENSG00000134824.13,FADS2,-5.394128674395942,-109.91982374340037,6.885686271961867e-08,0.0024081889406546457,1,1,,
ENSG00000128534.7,LSM8,5.364854403882892,25.76121375356895,8.101454159637212e-08,0.04336938243760069,2,2,,
ENSG00000172575.11,RASGRP1,-5.342763773113365,-670.4934499608569,9.15400249565992e-08,6.349548808377714e-05,1,1,,
ENSG00000176986.15,SEC24C,-5.327120300809994,-462.84971538384497,9.978207955129348e-08,0.00013246617828006844,2,2,,
ENSG00000149292.16,TTC12,5.297016288325478,5.972201167723982,1.1771019899876727e-07,0.7866721231967582,2,3,,
ENSG00000221883.2,ARIH2OS,5.249411961212796,270.54210108045936,1.5258550076897833e-07,0.00037648839676994455,1,1,,
ENSG00000178075.19,GRAMD1C,5.242408002900428,39.67850867506154,1.5849442093963652e-07,0.017456250053509953,1,1,,
ENSG00000186446.11,ZNF501,-5.2288423912234645,-13.264003456317688,1.705746982598279e-07,0.15540387728452631,2,2,,
ENSG00000162366.7,PDZK1IP1,-5.22798232157216,-8.934667377281736,1.71369891781595e-07,0.34238240838263695,2,2,,
ENSG00000168237.17,GLYCTK,5.1934520933624775,18.871788803728155,2.06430079359029e-07,0.07573316802913574,1,1,,
ENSG00000142599.17,RERE,-5.1572100309419575,-29.894086192514813,2.5065659129621353e-07,0.02976179169324018,1,1,,
ENSG00000173457.10,PPP1R14B,5.15478204037422,34.06918411184049,2.5392610715372643e-07,0.0228927068520466,1,1,,
ENSG00000204120.14,GIGYF2,5.108178243373101,66.32293875152654,3.252797329777243e-07,0.005932046724406881,1,1,,
ENSG00000174899.10,PQLC2L,-5.106979542284316,-16.514759240138645,3.2734917326605595e-07,0.09562770713882433,2,2,,
ENSG00000111707.11,SUDS3,5.075625584457697,21.529856815014426,3.862231614495253e-07,0.05557722681295567,1,1,,
ENSG00000225518.2,LINC01703,5.065517538919843,18.75232573574633,4.072922741354449e-07,0.07296882790253358,2,2,,
