gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000186470.13,BTN3A2,6.245585032017395,4.878686326995705,4.2221675885733933e-10,1.638854728881228,3,3,,
ENSG00000101104.12,PABPC1L,5.053336051535225,9.965366282888976,4.341590092342907e-07,0.2571401116935752,2,2,,
ENSG00000180596.7,HIST1H2BC,-5.016575929637505,-107.24220577101984,5.260049385807742e-07,0.002188181308497087,1,1,,
ENSG00000185909.14,KLHDC8B,4.579149105785426,62.49300160268026,4.668713030888964e-06,0.0053691656228697215,2,2,,
ENSG00000167595.14,PROSER3,-4.5071128780067085,-25.212773729980885,6.571567800016767e-06,0.03195623580302744,2,2,,
ENSG00000164099.3,PRSS12,4.470284077931567,72.91520079058205,7.811577158506853e-06,0.003758669094699946,1,2,,
ENSG00000136444.9,RSAD1,-4.440080377279525,-11.812766415621795,8.992528529482229e-06,0.1412792664946352,2,2,,
ENSG00000119414.11,PPP6C,4.302277528775071,33.63214514444604,1.6905137770396326e-05,0.016363933544039734,1,1,,
ENSG00000144229.11,THSD7B,-4.298488231459972,-20.84174392650592,1.7196703016720585e-05,0.04253665872743466,2,2,,
ENSG00000145388.14,METTL14,-4.2475130326619945,-13.491108107922807,2.161565946059032e-05,0.09912294468927803,1,1,,
ENSG00000150961.14,SEC24D,4.237999025244965,59.25498022839555,2.2552074822360462e-05,0.0051153103739209034,1,1,,
ENSG00000261126.7,RBFADN,-4.234856865016032,-4.015847635768624,2.2869732985006825e-05,1.1120466808324498,2,2,,
ENSG00000233822.4,HIST1H2BN,4.234016181352714,25.942103562726395,2.295544161633774e-05,0.026637572787136313,1,1,,
ENSG00000100372.14,SLC25A17,4.211275222267257,46.53824590622701,2.5393314428116728e-05,0.008188554238810238,1,1,,
ENSG00000113141.17,IK,-4.067346625627283,-35.300446948109595,4.7551485463645465e-05,0.013275838548914667,2,2,,
ENSG00000125846.15,ZNF133,4.023330629903117,2630.1740536614902,5.738085328463452e-05,2.3399278622773003e-06,1,1,,
ENSG00000267127.7,RP11-795F19.5,-3.9924873946258925,-12.426645878882821,6.538380969745003e-05,0.10322366203356412,1,2,,
ENSG00000136478.7,TEX2,-3.989092170843289,-173.8444882158778,6.63266477239853e-05,0.000526533842827769,1,1,,
ENSG00000220205.8,VAMP2,3.9861395719466373,17.046272691653815,6.715701675159629e-05,0.05468222015272304,2,2,,
ENSG00000101546.12,RBFA,3.953031153388258,22.491848803999453,7.716738561768474e-05,0.030889449116515217,1,2,,
ENSG00000055955.15,ITIH4,-3.9219462795153905,-6.10987761943737,8.783657834793017e-05,0.4120389373632827,2,2,,
ENSG00000271973.1,RP11-572O6.1,-3.9004927886852134,-121.79290902803879,9.599708572789352e-05,0.0010256400026773247,2,2,,
ENSG00000169604.19,ANTXR1,3.888781744532429,122.71312078857717,0.00010074866723253194,0.0010042576219611728,1,1,,
ENSG00000130175.9,PRKCSH,3.780736688941294,14.059509624564376,0.0001563649833510969,0.07231235689071173,1,2,,
ENSG00000204427.11,ABHD16A,3.780090263582087,401.9524923477151,0.0001567715138157148,8.844125341461453e-05,1,1,,
ENSG00000113119.12,TMCO6,-3.771013605557562,-22.85111547949326,0.0001625858073394233,0.027233370124179698,1,1,,
ENSG00000223855.1,HRAT92,-3.7672300301437165,-2.571818685717857,0.00016506889200467128,2.145673235608138,2,2,,
ENSG00000213533.11,TMEM110,-3.7258886210253253,-19.363028650963013,0.0001946283365288668,0.0370265425365561,1,1,,
