gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000182134.15,TDRKH,4.919051601455714,31.377566594777313,8.696454347868262e-07,0.024576737835470062,2,2,,
ENSG00000261126.7,RBFADN,-4.8516599255747215,-4.460732992099616,1.2243242671168445e-06,1.1829550611898147,3,3,,
ENSG00000008300.16,CELSR3,4.7429922774882165,289.3068650513885,2.1058430050193355e-06,0.00026877406301364725,2,2,,
ENSG00000239467.5,AC007405.6,4.731500408223252,11.64344785899255,2.2286636959899643e-06,0.16513326142827164,2,2,,
ENSG00000101104.12,PABPC1L,4.705307316569556,10.892804722860946,2.5348381805945077e-06,0.18659351729780235,1,2,,
ENSG00000178252.17,WDR6,4.643551296790847,10.458855145680175,3.4247091217339832e-06,0.19712068462045887,2,2,,
ENSG00000185909.14,KLHDC8B,4.634694658259446,49.66889427380463,3.574647225778343e-06,0.008707094760459045,2,2,,
ENSG00000145388.14,METTL14,-4.568152953765285,-14.40327103021377,4.9204092996676766e-06,0.1005909726693452,2,2,,
ENSG00000173611.17,SCAI,4.519250698778723,125.16033013617654,6.205887507805442e-06,0.001303765449033184,1,1,,
ENSG00000233822.4,HIST1H2BN,4.234016181352714,28.780684262081763,2.295544161633774e-05,0.021642269297373156,1,1,,
ENSG00000101017.13,CD40,-4.1709045606920325,-13.864525870050096,3.0339291696184397e-05,0.09050039189207743,2,2,,
ENSG00000103023.11,PRSS54,4.083152763111808,8.4565432693791,4.442879590640869e-05,0.23313394155896988,2,2,,
ENSG00000151150.21,ANK3,4.037657699103656,4361.9113942384565,5.398755158375475e-05,8.568510185493102e-07,1,1,,
ENSG00000203326.11,ZNF525,-4.022269382377737,-44.65321032166117,5.7640080537181054e-05,0.00811403600980332,1,3,,
ENSG00000167595.14,PROSER3,-4.020042644855796,-22.95018716115393,5.8187607668855444e-05,0.030682366767709142,1,1,,
ENSG00000205155.7,PSENEN,-4.006505185109221,-211.964339309031,6.162377311777611e-05,0.00035727762168720955,1,1,,
ENSG00000136478.7,TEX2,-3.974691227899644,-101.39175637735647,7.047062169386372e-05,0.0015367439079152186,1,1,,
ENSG00000272573.5,MUSTN1,-3.943906722064754,-35.350070978483956,8.016484974403119e-05,0.012447229279132348,1,2,,
ENSG00000029725.16,RABEP1,-3.942954937969106,-46.19249067763098,8.048378219846588e-05,0.0072861963054762086,1,1,,
ENSG00000108559.11,NUP88,3.9369616115107817,8.844233560807563,8.251980165031253e-05,0.19815359419165984,2,2,,
ENSG00000004776.12,HSPB6,3.9304003513339874,108.64135033088576,8.48045355025418e-05,0.001308830087505924,2,2,,
ENSG00000055955.15,ITIH4,-3.8819248658570076,-5.383723976766947,0.00010363289941159949,0.5199106093445821,2,3,,
ENSG00000170458.13,CD14,-3.8003021459606074,-41.43176505410884,0.00014451976792488472,0.008413358273651125,1,1,,
ENSG00000204463.12,BAG6,3.78420840016102,3.466259033823289,0.00015419857869429165,1.191867731627291,3,3,,
ENSG00000204427.11,ABHD16A,3.7800902635820868,845.720763458698,0.00015677151381571512,1.9977923893537767e-05,1,1,,
ENSG00000113119.12,TMCO6,-3.771013605557562,-17.90412701377099,0.0001625858073394233,0.04436187547073163,1,2,,
ENSG00000150961.14,SEC24D,3.7644994093247757,65.93441834627498,0.00016688306273877584,0.0032597936394397815,2,2,,
ENSG00000100403.11,ZC3H7B,3.7277314820325382,24.970635111168736,0.0001932110722781252,0.022285894280778422,2,2,,
ENSG00000213533.11,TMEM110,-3.7258886210253253,-18.595431968464595,0.0001946283365288668,0.04014645420440031,1,1,,
ENSG00000186470.13,BTN3A2,3.7229977973348247,3.563194984710331,0.0001968712401245566,1.091707720759528,3,3,,
ENSG00000120451.10,SNX19,3.7194562739211334,5.351740028395599,0.00019965210585351604,0.4830242089153365,2,3,,
ENSG00000131849.11,ZNF132,3.703025028896517,28.627174167721236,0.00021304385434021562,0.016732326653605505,1,1,,
ENSG00000007944.14,MYLIP,-3.69225292471144,-25.355943255528306,0.00022227624515356022,0.02120427089833406,2,2,,
ENSG00000047578.12,KIAA0556,-3.68396123025998,-46.96152078321671,0.00022963718384911018,0.00615383428628196,1,1,,
ENSG00000077235.17,GTF3C1,3.6839612302599796,106.23372273246113,0.00022963718384911072,0.001202555975890733,1,1,,
ENSG00000134371.10,CDC73,3.6783093616373352,77.03859405598539,0.0002347850810342286,0.0022797110704313446,1,1,,
ENSG00000232748.3,RP11-196G11.6,3.666694739947986,12.935587224234869,0.00024570581577188904,0.08034839641589363,2,2,,
ENSG00000165379.13,LRFN5,-3.6665999191056926,-865.3191392133466,0.0002457969015657408,1.7954546077206868e-05,1,1,,
ENSG00000213523.10,SRA1,3.6656826745871185,8.049078859129432,0.00024667965192829024,0.20740411518293123,2,2,,
ENSG00000260664.2,AC004158.3,3.6655756613793424,209.7668442237052,0.00024678283425625075,0.0003053589736298944,2,2,,
ENSG00000109270.12,LAMTOR3,3.6509804737013725,13.847009535711054,0.0002612411030453851,0.06951956371409389,2,2,,
ENSG00000204444.10,APOM,3.629019212183621,34.855553065933385,0.0002845000693512715,0.01084013219112977,1,2,,
ENSG00000236403.1,RP11-447M12.2,-3.615000500835647,-113.71118881219932,0.00030034704103878106,0.0010106722086419746,1,1,,
ENSG00000117748.9,RPA2,-3.614938087481736,-20.8023264389339,0.00030041940740864974,0.030197981362072596,1,2,,
ENSG00000159210.9,SNF8,3.59510798629261,10.600601160134799,0.00032425705031045393,0.11501722626902781,1,1,,
ENSG00000140623.13,SEPT12,3.570594797886297,2.408766506544693,0.0003561715195561363,2.197312004055489,4,4,,
ENSG00000083845.8,RPS5,-3.5388524820643394,-19.882489894261315,0.0004018703615206411,0.031679869062286106,2,2,,
ENSG00000272468.1,RP1-86C11.7,3.5241267765997737,1881.1685952869454,0.0004248809092332203,3.5095190711009243e-06,1,1,,
ENSG00000188315.7,C3orf62,-3.511498403992778,-42.83313843606675,0.0004455881384315042,0.0067208647691845685,1,1,,
ENSG00000244731.7,C4A,3.508808695921714,4.549392244810704,0.0004501185420330622,0.594857053242397,2,2,,
ENSG00000204334.7,ERICH2,3.495532782014546,17.932714414944833,0.00047311633192172,0.03799572137821537,1,1,,
ENSG00000163935.13,SFMBT1,-3.4917716080997754,-16.480375109702553,0.00047982834435346443,0.04489081331316073,1,2,,
ENSG00000131495.8,NDUFA2,3.487802364739071,31.781351918655,0.00048700791904802553,0.012043674262710627,2,2,,
ENSG00000121691.4,CAT,3.4861244842567825,8.512768883461662,0.0004900728947832972,0.16770426078536615,2,2,,
ENSG00000283992.1,LYNX1,-3.484529344102901,-15.36331484476335,0.0004930034000730085,0.051442064644412776,1,1,,
ENSG00000138002.14,IFT172,-3.48279896702914,-427.7264205960822,0.0004962008279166384,6.630169926127398e-05,1,1,,
ENSG00000221883.2,ARIH2OS,3.47729697692361,196.68863460601835,0.0005064964715865266,0.0003125539810489903,1,1,,
ENSG00000116698.21,SMG7,3.4745695470561495,13.603844268016159,0.0005116737062534383,0.06523470677720833,2,2,,
ENSG00000173421.16,CCDC36,-3.472044112970774,-20.348234742465756,0.0005165114558911253,0.029115013138354517,1,1,,
ENSG00000085265.10,FCN1,3.470885503894152,18.210851884267676,0.0005187451366741894,0.03632620679753226,2,2,,
ENSG00000178467.17,P4HTM,-3.467580063721689,-25.758900825854866,0.0005251672712080924,0.018121675139361984,1,1,,
ENSG00000090238.11,YPEL3,-3.454437553746477,-24.541968896405372,0.0005514419045430917,0.019812345363209673,1,2,,
ENSG00000203721.6,LINC00862,3.435748233715822,26.930589109652825,0.0005909198358514925,0.016276122741341006,2,2,,
ENSG00000225399.4,RP11-3B7.1,-3.435471106620579,-17.762729894268865,0.0005915245363469248,0.03740702561248792,1,1,,
ENSG00000084734.8,GCKR,-3.4283434619717816,-180.83767411099984,0.0006072766376608697,0.00035941055204716027,1,1,,
ENSG00000220205.8,VAMP2,3.426535205143358,17.80698052499147,0.0006113345088601987,0.03702796367604759,2,2,,
ENSG00000152475.6,ZNF837,-3.4057043042191184,-47.54258859035004,0.00065993614740047,0.0051315460147089344,1,1,,
ENSG00000085365.17,SCAMP1,-3.3853774977192987,-36.10424816452547,0.000710804283619365,0.008792200736450569,1,1,,
ENSG00000100285.9,NEFH,3.371173916498192,107.20103904816133,0.0007484858947598374,0.0009889272100021454,1,1,,
ENSG00000031003.10,FAM13B,-3.3678616031631465,-33254.91480006307,0.0007575361280070883,1.0256443551357444e-08,1,1,,
ENSG00000177352.9,CCDC71,3.361388817064112,12.673049000092623,0.0007755157170924622,0.07035180972209207,1,1,,
ENSG00000231690.2,LINC00574,-3.3524132112349045,-5.0005674728582665,0.0008011035412639261,0.44944494864132895,3,3,,
ENSG00000104892.16,KLC3,-3.3440733192931305,-6.672421195006735,0.0008255791557673918,0.25117977971131034,2,3,,
ENSG00000159199.13,ATP5G1,3.327181789602135,20.327198893051815,0.000877291215239159,0.026791559102930337,1,2,,
ENSG00000145390.11,USP53,3.3180020945636928,26.8242186074163,0.0009066380458156563,0.015300272021340303,1,2,,
