gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000145388.14,METTL14,-6.241481174671974,-11.069305102901797,4.334466118529168e-10,0.3179322721319614,3,3,,
ENSG00000162971.10,TYW5,-5.115438479710379,-10.619136111455736,3.1301295761234177e-07,0.23205309073757519,2,2,,
ENSG00000101104.12,PABPC1L,5.071050779217395,10.41012495936387,3.956251832567332e-07,0.23729251180646374,2,2,,
ENSG00000144401.14,METTL21A,-5.0353800106162,-46.418493007392975,4.76901785729718e-07,0.011767451834544383,1,2,,
ENSG00000178252.17,WDR6,4.710552898624674,13.441649965067425,2.4704566544713713e-06,0.12281137873269599,2,2,,
ENSG00000239467.5,AC007405.6,4.671675833726583,11.77406850845047,2.987521943551803e-06,0.15743173519715004,2,2,,
ENSG00000120697.8,ALG5,-4.588569303156922,-33.661878943761046,4.462941468088942e-06,0.018581376500298112,3,3,,
ENSG00000186470.13,BTN3A2,4.499973206137224,4.332694009288986,6.796202833430862e-06,1.0787077985464701,2,3,,
ENSG00000104866.10,PPP1R37,-4.4857191912596726,-27.63317624721954,7.266839669918472e-06,0.02635133074295952,3,3,,
ENSG00000167595.14,PROSER3,-4.473270367756408,-26.216641228886747,7.70322764321776e-06,0.0291136190101984,2,2,,
ENSG00000185909.14,KLHDC8B,4.436026674885299,61.63857326279568,9.163449808034317e-06,0.005179444010753663,2,2,,
ENSG00000178074.5,C2orf69,4.2968232955437875,85.11636947232128,1.7326320195342266e-05,0.002548407096032727,2,3,,
ENSG00000204410.14,MSH5,4.270958371360874,25.483133768674737,1.9463474059317497e-05,0.028089564689204784,2,2,,
ENSG00000150961.14,SEC24D,4.237999025244965,59.338192382711355,2.2552074822360462e-05,0.005100973653420675,1,1,,
ENSG00000114861.18,FOXP1,-4.230005072550871,-232.45173623756875,2.336860424119009e-05,0.00033114346406108133,1,1,,
ENSG00000166938.12,DIS3L,4.169495895677812,5.506174900876214,3.052741131793513e-05,0.5734124213787379,3,4,,
ENSG00000204463.12,BAG6,4.166863059371071,4.897625646750027,3.088198833035887e-05,0.7238478402934971,2,2,,
ENSG00000267795.5,SMIM22,4.1651510650151895,7.644303649976277,3.1114647074487424e-05,0.29688322213639684,2,2,,
ENSG00000101017.13,CD40,-4.163457354481741,-12.59100636960346,3.134645939639531e-05,0.10934208574276408,2,2,,
ENSG00000170175.10,CHRNB1,-4.155842721070176,-10.931539601536622,3.2409072364173384e-05,0.1445291809597024,2,2,,
ENSG00000136444.9,RSAD1,-4.10922249269688,-12.138910473701177,3.969934548185798e-05,0.11459347684310645,2,3,,
ENSG00000261126.7,RBFADN,-4.090669630066891,-6.699702238360983,4.3012947752403834e-05,0.37280163666855687,1,3,,
ENSG00000204421.2,LY6G6C,-4.074160536355494,-9.580752189469269,4.618061911878563e-05,0.1808327393670201,2,2,,
ENSG00000158691.14,ZSCAN12,4.043020950074062,127.90742607509637,5.276690381064304e-05,0.000999126468708207,1,1,,
ENSG00000151150.21,ANK3,4.037657699103656,7306.514429744705,5.398755158375475e-05,3.053785321343556e-07,1,2,,
ENSG00000004776.12,HSPB6,4.000309675821691,139.03065611439698,6.325964701291187e-05,0.0008278775022707847,2,2,,
ENSG00000170837.2,GPR27,3.9894551808337297,9.854070728534657,6.622523058163079e-05,0.1639063693743239,2,2,,
ENSG00000180596.7,HIST1H2BC,-3.9750584185357227,-76.15894625191888,7.03619827179983e-05,0.0027242388258548918,2,2,,
ENSG00000136478.7,TEX2,-3.974691227899644,-43.47245835301388,7.047062169386372e-05,0.008359463242533826,1,1,,
ENSG00000178773.14,CPNE7,-3.9635739848834914,-44.66096462003209,7.383596643842468e-05,0.00787621822183148,1,1,,
