gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000119414.11,PPP6C,5.16987344490377,25.45378184478616,2.342525771119652e-07,0.04125296693979706,2,2,,
ENSG00000135945.9,REV1,-5.027474110727928,-37.51519789074577,4.96982556864363e-07,0.017959126203072183,2,2,,
ENSG00000180596.7,HIST1H2BC,-5.016575929637505,-157.1596137625876,5.260049385807742e-07,0.0010189030784252995,1,1,,
ENSG00000261126.7,RBFADN,-4.832257394588144,-3.3105259548567374,1.3499356554777474e-06,2.130620613014207,3,3,,
ENSG00000178252.17,WDR6,4.724453634942542,14.061714793835492,2.30734848430193e-06,0.11288249820635443,2,2,,
ENSG00000101104.12,PABPC1L,4.6893220150189645,10.203533561325825,2.7411173788938133e-06,0.21121216040422094,2,2,,
ENSG00000112343.10,TRIM38,-4.681444663716878,-309.71378973397486,2.848602945929825e-06,0.00022847500933816645,2,2,,
ENSG00000185909.14,KLHDC8B,4.586961630185287,113.96889293983645,4.497432976127243e-06,0.0016198602756305868,2,2,,
ENSG00000173611.17,SCAI,4.519250698778723,67.06247876168885,6.205887507805442e-06,0.004541231735250871,1,2,,
ENSG00000186470.13,BTN3A2,4.518754812691001,4.548637546156525,6.220437892178431e-06,0.9869039577911112,2,2,,
ENSG00000167595.14,PROSER3,-4.443713991123297,-22.24743903453891,8.841912776061304e-06,0.03989625647033311,2,2,,
ENSG00000197062.11,ZSCAN26,4.2610248791686836,6.820998576649322,2.0349157626278862e-05,0.3902403945852175,2,2,,
ENSG00000145388.14,METTL14,-4.2475130326619945,-13.272004787013115,2.161565946059032e-05,0.10242273788163554,1,1,,
ENSG00000158691.14,ZSCAN12,4.242599910372727,127.954727819238,2.209451250074106e-05,0.0010993892403450775,1,2,,
ENSG00000150961.14,SEC24D,4.237999025244965,54.360866933856386,2.2552074822360462e-05,0.006077835712906949,1,1,,
ENSG00000233822.4,HIST1H2BN,4.234016181352714,28.274184655113206,2.295544161633774e-05,0.022424607325973865,1,1,,
ENSG00000108559.11,NUP88,4.183866220643647,15.95016041225809,2.865928043911666e-05,0.06880586653221347,1,1,,
ENSG00000101017.13,CD40,-4.156803657072943,-12.342571299732704,3.227311230788323e-05,0.1134247246249816,2,2,,
ENSG00000156599.10,ZDHHC5,-4.108490504956852,-1187.1311313184247,3.982535748710763e-05,1.1977527788114181e-05,1,2,,
ENSG00000151150.21,ANK3,4.037657699103656,6520.911803572679,5.398755158375475e-05,3.833913791472111e-07,1,2,,
ENSG00000136478.7,TEX2,-3.9890921708432887,-126.8570118075648,6.63266477239853e-05,0.0009888244308838435,1,1,,
ENSG00000220205.8,VAMP2,3.9783551891520395,18.596130037218725,6.9393654788119e-05,0.04576800267942424,2,2,,
ENSG00000100225.17,FBXO7,3.961842753874177,11.295686571182287,7.437351814445067e-05,0.12301815300051482,2,2,,
ENSG00000167395.10,ZNF646,-3.926189312568987,-18.052064852847458,8.630224029922208e-05,0.04730300195516336,2,2,,
ENSG00000261353.1,CTA-14H9.5,3.9130653729856313,36.56275053991542,9.11318505080872e-05,0.011453981785105306,1,1,,
ENSG00000086544.2,ITPKC,-3.897532850042461,-19.08355930861092,9.717764367993994e-05,0.04171198048755378,1,1,,
