gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000186470.13,BTN3A2,7.530785232195129,5.882609676356293,5.0436086718170576e-14,1.638854728881228,3,3,,
ENSG00000164068.15,RNF123,7.266,49.85796487578735,3.7028858519062575e-13,0.021238394937368024,1,1,,
ENSG00000164078.12,MST1R,6.43,25.0981806112958,1.2760394533089417e-10,0.065635298601615,1,2,,
ENSG00000048828.16,FAM120A,6.359,773.6957570576567,2.030714074391048e-10,6.755184569212903e-05,1,1,,
ENSG00000234127.8,TRIM26,-6.132,-35.446333382224374,8.678110387649008e-10,0.029926894781384154,1,1,,
ENSG00000265055.1,AC145343.2,5.82781964091173,51.90514094864305,5.615622070334062e-09,0.0126064108274372,2,2,,
ENSG00000182481.8,KPNA2,-5.78,-46.77119399688533,7.470062540499473e-09,0.015272100136783375,1,1,,
ENSG00000101017.13,CD40,-5.7393561204143335,-16.32565099465439,9.503718539027624e-09,0.12359056852949586,2,2,,
ENSG00000275759.1,RP11-131L12.3,-5.711,-7.050557438469233,1.1231424618613608e-08,0.6561111380659811,1,1,,
ENSG00000275409.1,RP11-131L12.4,-5.668,-12.192318125740552,1.4447396573862867e-08,0.2161160948493943,1,1,,
ENSG00000204444.10,APOM,5.662401383148677,37.99959803803429,1.492691639591651e-08,0.022204617556500803,2,2,,
ENSG00000270604.5,HCG17,5.519626175513234,8.59219747110796,3.397215887079079e-08,0.4126775387051167,2,3,,
ENSG00000204410.14,MSH5,5.498,38.95931205650206,3.8412293102663197e-08,0.01991530270975101,1,1,,
ENSG00000108651.9,UTP6,5.448,22.954482142795854,5.0939358360049055e-08,0.0563299283603801,1,2,,
ENSG00000204427.11,ABHD16A,5.445,578.9891690997133,5.180538562953246e-08,8.844125341461453e-05,1,1,,
ENSG00000113068.9,PFDN1,5.399,123.16398603075625,6.701337406079633e-08,0.0019215831567467381,1,1,,
ENSG00000225518.2,LINC01703,5.3428938033046744,18.060527497108165,9.14743592933819e-08,0.08751695986704097,2,2,,
ENSG00000126858.16,RHOT1,5.267,37.83324822563015,1.3867120694192914e-07,0.019381142603016002,1,1,,
ENSG00000137944.17,KYAT3,-5.264289710554025,-8.290835386296123,1.4073237934888077e-07,0.4031651451802296,2,3,,
ENSG00000184349.12,EFNA5,5.238,84.52003413104026,1.6232606269670734e-07,0.0038407112776956374,1,1,,
ENSG00000007402.11,CACNA2D2,-5.215,-55.09632257191229,1.838172351768869e-07,0.008959079702953456,1,1,,
ENSG00000140386.12,SCAPER,-5.193920162765151,-14.144545665655409,2.0591147139734817e-07,0.13483807232135891,3,3,,
ENSG00000196628.15,TCF4,5.188,13737.648469385802,2.1256460361933412e-07,1.426182610093573e-07,1,2,,
ENSG00000164076.16,CAMKV,-5.161,-1713.7981750369252,2.4563418022666345e-07,9.06876955138636e-06,1,1,,
ENSG00000049449.8,RCN1,5.161,592.4863768270526,2.4563418022666345e-07,7.587714477541745e-05,1,1,,
ENSG00000138442.9,WDR12,5.028,31.794959936251203,4.956218763696458e-07,0.025007712846056716,1,1,,
ENSG00000163596.16,ICA1L,5.009,35.60768714067043,5.471357320683248e-07,0.019788575511394475,1,2,,
ENSG00000233822.4,HIST1H2BN,4.923,30.163554027443368,8.522745262239067e-07,0.026637572787136313,1,1,,
