gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000164078.12,MST1R,9.489363109555168,19.153787340858276,2.324501118972058e-21,0.24545100115554216,2,3,,
ENSG00000164068.15,RNF123,7.321,49.562318731079884,2.461298398573124e-13,0.021819137600972063,1,1,,
ENSG00000204410.14,MSH5,7.177656458243169,42.82626140716086,7.091648238321055e-13,0.028089564689204784,2,2,,
ENSG00000172301.10,COPRS,6.689707488814605,23.710276424226272,2.236171200911639e-11,0.07960512386494561,3,3,,
ENSG00000250120.6,PCDHA10,-6.570425412941901,-14.500934405987671,5.017171137291814e-11,0.2053028617232091,2,2,,
ENSG00000004534.14,RBM6,-6.218,-15.914478650396834,5.035315607279229e-10,0.15265695785971162,1,1,,
ENSG00000270604.5,HCG17,6.108565235115362,11.422078303920484,1.0053076842921384e-09,0.28601457580772843,2,2,,
ENSG00000101017.13,CD40,-5.968205647539035,-18.048873550338385,2.3987691589277613e-09,0.10934208574276408,2,2,,
ENSG00000275759.1,RP11-131L12.3,-5.802220416827466,-5.165690017475744,6.544245556138434e-09,1.261629289475043,3,3,,
ENSG00000275409.1,RP11-131L12.4,-5.669,-11.625286143094515,1.4363336672474694e-08,0.23779658382524743,1,1,,
ENSG00000101489.19,CELF4,5.588099581219119,1245.4004827052086,2.295679969242561e-08,2.0133079759639894e-05,2,2,,
ENSG00000124140.13,SLC12A5,5.579,61.782831898557504,2.4190524106831655e-08,0.008154120048643541,1,1,,
ENSG00000120088.14,CRHR1,-5.56,-22.947355781005058,2.6977465030556816e-08,0.05870624260518913,1,1,,
ENSG00000204516.9,MICB,-5.515380862162021,-9.011270769280934,3.480254406914433e-08,0.37460962927550934,4,4,,
ENSG00000213719.8,CLIC1,5.497708006783218,60.92515271218187,3.8475933634452256e-08,0.008142730984556628,2,2,,
ENSG00000204444.10,APOM,5.484,55.182072552695985,4.1581476934334846e-08,0.009876404677642593,1,2,,
ENSG00000166896.7,ATP23,5.399392758648911,5.095699296955005,6.686684058394019e-08,1.122747911204514,2,2,,
ENSG00000184349.12,EFNA5,5.335,90.13466150752268,9.554455736789066e-08,0.0035033633576024657,1,1,,
ENSG00000225518.2,LINC01703,5.297818093675129,14.699574329585811,1.1719462989070123e-07,0.12989264704043452,2,2,,
ENSG00000135108.14,FBXO21,-5.287608114815291,-18.156933127496238,1.2392611703352866e-07,0.08480735777666788,2,2,,
ENSG00000126858.16,RHOT1,5.267,34.07481277992307,1.3867120694192914e-07,0.02389239466769334,1,2,,
ENSG00000111707.11,SUDS3,5.265794819832487,7.724859409265044,1.3958411423556725e-07,0.46467220749461363,2,2,,
ENSG00000244731.7,C4A,5.246336377098894,7.048723955309878,1.551535148189776e-07,0.5539763945559023,2,2,,
ENSG00000007402.11,CACNA2D2,-5.215,-64.90760088871016,1.838172351768869e-07,0.006455316070523627,1,1,,
ENSG00000140386.12,SCAPER,-5.207521919133041,-11.672722287013578,1.9137923701655925e-07,0.19902970857421748,2,2,,
ENSG00000186470.13,BTN3A2,5.203261762878739,5.0098389559388155,1.958207392898498e-07,1.0787077985464701,2,3,,
ENSG00000196628.15,TCF4,-5.184,-3607.9131727155004,2.1717693213006297e-07,2.0645139939677438e-06,1,2,,
ENSG00000178691.10,SUZ12,5.17164235472605,32.97597443288301,2.3204539339037597e-07,0.0245958418411587,2,2,,
ENSG00000049449.8,RCN1,5.161,1242.2243561249056,2.4563418022666345e-07,1.726106698193443e-05,1,1,,
ENSG00000182481.8,KPNA2,-5.121,-31.467006788401182,3.0391964661670915e-07,0.026484921132813245,1,1,,
ENSG00000187626.8,ZKSCAN4,-5.075,-34.95017874437252,3.874960015530711e-07,0.02108498472876072,1,1,,
ENSG00000105866.13,SP4,5.004432374230102,36.5461900071119,5.602687588044471e-07,0.01875104319221915,2,2,,
ENSG00000054967.12,RELT,4.971664326418902,19.695548495161848,6.638056554759226e-07,0.06371877786902913,2,2,,
ENSG00000186665.9,C17orf58,-4.955482806968207,-95.1383876866891,7.215090274113415e-07,0.002713066089001387,2,2,,
ENSG00000137944.17,KYAT3,-4.940408642763572,-6.796144257471238,7.7959013096758e-07,0.5284459429405138,3,3,,
ENSG00000205581.10,HMGN1,-4.922063171574189,-20.108441797719134,8.563655953040371e-07,0.05991527123745744,2,2,,
ENSG00000267325.1,LINC01415,-4.893,-36.44702894990635,9.931040650780478e-07,0.018022962041829703,1,1,,
ENSG00000001617.11,SEMA3F,-4.888,-22.19120189472067,1.0186553055050676e-06,0.04851776037283839,1,1,,
ENSG00000204394.12,VARS,-4.884,-28.813300658809194,1.0395507426151636e-06,0.028731962342164637,1,1,,
ENSG00000120071.13,KANSL1,4.84,14.96136713570619,1.2983912857226677e-06,0.10465215190367906,1,3,,
ENSG00000164053.19,ATRIP,-4.826,-8.777721104197072,1.3930250771822168e-06,0.3022811595432063,1,1,,
ENSG00000138030.12,KHK,-4.786,-17.752584297663777,1.7013805595431588e-06,0.07268122214701676,1,1,,
ENSG00000010282.14,HHATL,4.767175491503554,9.448536639037181,1.8682656857384047e-06,0.2545617666849171,3,3,,
ENSG00000138386.16,NAB1,-4.757,-189.65752655315552,1.9649116945921623e-06,0.0006291093475548382,1,1,,
ENSG00000138442.9,WDR12,4.75526496793932,51.022861838718846,1.9818630823941593e-06,0.00868599977969809,2,2,,
ENSG00000132026.13,RTBDN,-4.754,-46.367964139186775,1.994310365747151e-06,0.010511926097025077,1,1,,
ENSG00000185158.12,LRRC37B,-4.753,-9.849965157895118,2.0042034799506393e-06,0.23284463729365487,1,1,,
ENSG00000007372.21,PAX6,4.705,90609.38964585366,2.538659542668637e-06,2.696328769472244e-09,1,1,,
ENSG00000198231.12,DDX42,4.696432343432904,7.666636662906575,2.6474487046011337e-06,0.3752549046407675,2,2,,
ENSG00000241852.9,C8orf58,-4.695,-38.073577081853614,2.6660672414515552e-06,0.01520630966179268,1,2,,
ENSG00000228474.5,OST4,4.694,180.1416393576208,2.6791403188744957e-06,0.000678981512240388,1,1,,
ENSG00000173611.17,SCAI,4.689,108.24187640675558,2.745433886829086e-06,0.0018765919150102097,1,2,,
ENSG00000154822.17,PLCL2,-4.688,-129.94892476843592,2.7588801865508063e-06,0.001301457004826512,1,1,,
ENSG00000264968.1,RP11-387H17.4,4.683128990567432,9.73656589138542,2.8252859460852936e-06,0.23134527054606907,2,2,,
ENSG00000188282.12,RUFY4,-4.642370472735906,-16.866061916928913,3.4443456213019744e-06,0.07576213590550603,2,2,,
ENSG00000140265.12,ZSCAN29,-4.638,-27.032643906928325,3.517967865612157e-06,0.029436382758237387,1,2,,
