gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000156599.10,ZDHHC5,-8.464,-112.10614748098872,2.5835982193002e-17,0.005700230961300717,1,2,,
ENSG00000164068.15,RNF123,7.266000000000001,51.58017205759509,3.7028858519062156e-13,0.019843817034424817,1,1,,
ENSG00000185294.6,SPPL2C,7.190207995047629,139.26881333734534,6.469269362087001e-13,0.0026654783354720293,2,2,,
ENSG00000198315.10,ZKSCAN8,6.534075582000988,23.30835968512589,6.400361908006865e-11,0.07858594590803655,2,2,,
ENSG00000173611.17,SCAI,6.432973107457213,70.68471634303818,1.251317973690003e-10,0.008282709559379582,2,2,,
ENSG00000101017.13,CD40,-6.339869561562186,-17.989730551064305,2.2995977071986128e-10,0.12419706368558434,3,3,,
ENSG00000004534.14,RBM6,-6.218,-15.055769746303275,5.035315607279229e-10,0.17056719473577583,1,2,,
ENSG00000270604.5,HCG17,6.169,13.18036605002176,6.872322813043762e-10,0.21906580755004795,1,2,,
ENSG00000100403.11,ZC3H7B,6.164394023521921,41.918938430874015,7.075356312133531e-10,0.02162520482624849,3,3,,
ENSG00000111707.11,SUDS3,6.124,31.722163661114422,9.12548960225324e-10,0.037268744383090344,1,1,,
ENSG00000164078.12,MST1R,6.118224002926117,13.358039785284767,9.46239935492141e-10,0.20978057997873864,2,2,,
ENSG00000003756.16,RBM5,-6.072,-124.80056697505853,1.263269329673124e-09,0.002367175237030604,1,1,,
ENSG00000159314.11,ARHGAP27,6.048,30.451538509228484,1.4665495675200852e-09,0.039446192161143576,1,1,,
ENSG00000275759.1,RP11-131L12.3,-5.932827477599192,-7.638900187899168,2.9776168802719506e-09,0.6032006046511666,2,2,,
ENSG00000164076.16,CAMKV,5.6865711947729025,153.41855396663507,1.2961536465761646e-08,0.0013738685803188055,2,2,,
ENSG00000265055.1,AC145343.2,5.661,38.89703461000811,1.5049342715620204e-08,0.021181334714388437,1,1,,
ENSG00000056558.10,TRAF1,5.646597105272316,16.94033916581967,1.636547455445802e-08,0.11110392456807604,2,2,,
ENSG00000256762.1,STH,5.586,1015.2679830661236,2.3235923449749748e-08,3.0271955846329616e-05,1,1,,
ENSG00000120088.14,CRHR1,5.56,63.33677416638895,2.6977465030556816e-08,0.007706154332566232,1,1,,
ENSG00000213719.8,CLIC1,5.498207718976928,62.624504230240895,3.83670824685697e-08,0.007708212607748596,2,2,,
ENSG00000204410.14,MSH5,5.498,42.77426611855965,3.8412293102663197e-08,0.016521304548043972,1,3,,
ENSG00000204444.10,APOM,5.484,60.556185810117455,4.1581476934334846e-08,0.00820120875120005,1,2,,
ENSG00000108651.9,UTP6,5.448,19.02173861882279,5.0939358360049055e-08,0.08203020152476025,1,2,,
ENSG00000182481.8,KPNA2,-5.397,-52.255392928044316,6.776438810674992e-08,0.010667007506441157,1,1,,
ENSG00000275409.1,RP11-131L12.4,-5.375529167857966,-11.147933384627283,7.635808897083992e-08,0.23251646712692586,2,2,,
ENSG00000100197.20,CYP2D6,-5.325819815994569,-5.128798227824456,1.0049871831798067e-07,1.078305228023293,3,3,,
ENSG00000244731.7,C4A,5.28072062903742,7.668318124856906,1.2867676951514094e-07,0.474226852049491,3,3,,
ENSG00000114735.9,HEMK1,-5.242442520033392,-16.398537635685916,1.5846476496222908e-07,0.10220146306748665,2,2,,
ENSG00000007402.11,CACNA2D2,-5.234,-71.95191408770795,1.6588045169296842e-07,0.005291547918113338,1,1,,
ENSG00000204525.16,HLA-C,-5.219,-9.841265735745855,1.79891763390267e-07,0.2812371420612675,1,4,,
ENSG00000250120.6,PCDHA10,-5.203,-19.889672661321427,1.960968695871661e-07,0.06843092025782041,1,1,,
ENSG00000049449.8,RCN1,5.161,1123.2993315939793,2.4563418022666345e-07,2.1109440238158588e-05,1,1,,
ENSG00000138030.12,KHK,-5.135,-58.95614917195128,2.821440240881521e-07,0.007586171870997464,1,1,,
ENSG00000186470.13,BTN3A2,5.097685833809572,5.407046742700657,3.438308214428169e-07,0.8888446967264377,2,2,,
ENSG00000225518.2,LINC01703,5.060734266917341,15.12285865295344,4.1764495562984507e-07,0.11198485222351448,3,3,,
ENSG00000138442.9,WDR12,5.03,58.93368346772934,4.904798361307395e-07,0.007284651800865593,1,1,,
ENSG00000137944.17,KYAT3,-5.020858743730024,-7.709405288814462,5.144097975920779e-07,0.42414490206097155,2,3,,
ENSG00000001617.11,SEMA3F,-5.016,-31.730658646372625,5.275832842968917e-07,0.024989460580435673,1,1,,
ENSG00000258636.1,CTD-2298J14.2,-5.014,-38.53500258543802,5.330998632368856e-07,0.016930035716630692,1,1,,
ENSG00000186665.9,C17orf58,-5.013328676975001,-95.0925356786667,5.349640031228149e-07,0.0027794540583357956,2,2,,
ENSG00000163596.16,ICA1L,5.009,28.56996092015886,5.471357320683248e-07,0.030738507082518247,1,1,,
ENSG00000084764.10,MAPRE3,-4.988,-85.65441567966161,6.100756881402525e-07,0.0033911997857479165,1,1,,
ENSG00000188786.9,MTF1,-4.945,-49.38205365357602,7.614386445132369e-07,0.01002753757131129,1,1,,
ENSG00000163041.9,H3F3A,4.9295658168743435,7.905887214220996,8.24125682388611e-07,0.38879091684228906,2,2,,
ENSG00000267325.1,LINC01415,-4.893,-37.1884026441957,9.931040650780478e-07,0.017311527204298374,1,1,,
