gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000156599.10,ZDHHC5,-8.464,-2445.6373656836945,2.5835982193002e-17,1.1977527788114181e-05,1,2,,
ENSG00000164068.15,RNF123,7.321,51.64631708447417,2.461298398573124e-13,0.020093801104539264,1,1,,
ENSG00000164078.12,MST1R,6.430000000000001,20.410137242539776,1.276039453308928e-10,0.09924990410043597,1,2,,
ENSG00000119414.11,PPP6C,6.268975342387234,30.865190890265296,3.6343166947305684e-10,0.04125296693979706,2,2,,
ENSG00000004534.14,RBM6,-6.218,-19.635640410115748,5.035315607279229e-10,0.10027930029701511,1,1,,
ENSG00000158691.14,ZSCAN12,6.197,186.8984738243102,5.754950111015097e-10,0.0010993892403450775,1,2,,
ENSG00000101017.13,CD40,-5.9749579138651905,-17.74111797156966,2.3014959072555257e-09,0.1134247246249816,2,2,,
ENSG00000204444.10,APOM,5.701705862255366,46.18127489050659,1.1861437360987456e-08,0.01524325737928546,2,3,,
ENSG00000056558.10,TRAF1,5.675794170811319,11.62497769395772,1.3804668822707031e-08,0.23837956274531963,2,3,,
ENSG00000275759.1,RP11-131L12.3,-5.643363574593501,-5.713032092944308,1.6675967456594966e-08,0.9757593778338722,3,3,,
ENSG00000124140.13,SLC12A5,5.579,83.05523370225991,2.4190524106831655e-08,0.0045120999734212,1,1,,
ENSG00000120088.14,CRHR1,-5.56,-31.96206372626052,2.6977465030556816e-08,0.030260768771070784,1,1,,
ENSG00000275409.1,RP11-131L12.4,-5.510537145631225,-9.543275205729724,3.5774030238594626e-08,0.33342101741846925,3,4,,
ENSG00000204396.10,VWA7,5.49,475.9041597648705,4.01933742563528e-08,0.0001330778228293913,1,2,,
ENSG00000137312.14,FLOT1,-5.481,-23.18844995794053,4.229284825489605e-08,0.05586967771534118,1,2,,
ENSG00000225518.2,LINC01703,5.467531987823991,20.24056575039539,4.563448738610468e-08,0.07296882790253358,2,2,,
ENSG00000249484.8,LINC01470,-5.429,-13153.387935988236,5.6670684056471955e-08,1.7035874231453646e-07,1,1,,
ENSG00000113068.9,PFDN1,5.399,122.33282101975728,6.701337406079633e-08,0.00194778345906608,1,1,,
ENSG00000182481.8,KPNA2,-5.391,-64.7857638550659,7.006667473894664e-08,0.006924357726292951,1,1,,
ENSG00000166896.7,ATP23,5.384274229122761,6.893165090729926,7.273753799911388e-08,0.6101224172394342,2,2,,
ENSG00000114735.9,HEMK1,-5.3835222657868815,-22.571435319277267,7.304220740161159e-08,0.05688721511827051,2,2,,
