gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000186470.13,BTN3A2,7.50614617249524,5.482341850002558,6.089342139291842e-14,1.8745706379193865,3,3,,
ENSG00000164068.15,RNF123,7.266,54.12688899939204,3.7028858519062575e-13,0.018020409448054307,1,1,,
ENSG00000204410.14,MSH5,6.962808039852525,45.24776669489184,3.335561928199313e-12,0.023679610104748925,2,2,,
ENSG00000140564.11,FURIN,-6.593,-55.76918228947078,4.310265766439578e-11,0.013975829636556828,1,1,,
ENSG00000164078.12,MST1R,6.43,20.616355067793833,1.2760394533089417e-10,0.0972743136650195,1,2,,
ENSG00000004534.14,RBM6,-6.218000000000001,-16.883197337957764,5.035315607279192e-10,0.13564133077387996,1,1,,
ENSG00000101017.13,CD40,-6.099127835077394,-12.373578554741137,1.0664875590054778e-09,0.24296562440887626,2,2,,
ENSG00000265055.1,AC145343.2,5.926967054503676,43.8260404108098,3.0858085508123688e-09,0.018289446256254862,2,2,,
ENSG00000275759.1,RP11-131L12.3,-5.8225718965217625,-7.492940340327342,5.794885741484426e-09,0.603844576949436,2,2,,
ENSG00000056558.10,TRAF1,5.7197719931866855,12.859986617645388,1.0666709428480668e-08,0.19782282544805235,2,2,,
ENSG00000185294.6,SPPL2C,5.527,23331.97622106963,3.257529613489545e-08,5.6114600953340765e-08,1,1,,
ENSG00000204525.16,HLA-C,-5.518395246113267,-5.3793353730329,3.421093017911627e-08,1.0523697685931606,3,3,,
ENSG00000204444.10,APOM,5.484,47.84441848801708,4.1581476934334846e-08,0.013138092987917896,1,1,,
ENSG00000149295.13,DRD2,-5.466521842482493,-261.4904614254548,4.589518946364693e-08,0.0004370292175393911,2,2,,
ENSG00000108651.9,UTP6,5.448,21.90269270919847,5.0939358360049055e-08,0.06186986630461452,1,2,,
ENSG00000140386.12,SCAPER,-5.445965124932266,-14.11993378621453,5.152523211901864e-08,0.14875939089037882,3,3,,
ENSG00000275409.1,RP11-131L12.4,-5.445433041777463,-12.80545560164483,5.167950146479931e-08,0.18083178740015365,2,2,,
ENSG00000113068.9,PFDN1,5.399000000000001,98.39539052922643,6.701337406079599e-08,0.003010767001164274,1,1,,
ENSG00000182481.8,KPNA2,-5.397,-38.03547319560973,6.776438810674992e-08,0.020133866695035585,1,1,,
ENSG00000166896.7,ATP23,5.394323735196734,4.606952661426438,6.878210949242439e-08,1.371028598623275,2,2,,
ENSG00000155511.17,GRIA1,5.350221254206736,116.062098973002,8.784676424884929e-08,0.0021250181494594797,2,2,,
ENSG00000197062.11,ZSCAN26,5.3044569191291515,7.601695156763719,1.1300892717463468e-07,0.4869237455690334,3,3,,
ENSG00000135108.14,FBXO21,-5.289677386799309,-20.146483446992804,1.225322947868297e-07,0.06893818870418933,2,2,,
ENSG00000186448.14,ZNF197,-5.283425216349755,-18.716326449833215,1.267906348962916e-07,0.07968744569897268,2,2,,
ENSG00000126858.16,RHOT1,5.267,46.695140752947545,1.3867120694192914e-07,0.012722816371549244,1,2,,
ENSG00000007402.11,CACNA2D2,-5.234,-87.66558105018248,1.6588045169296842e-07,0.0035645868881437064,1,1,,
ENSG00000114735.9,HEMK1,-5.228388400761443,-14.220807429516105,1.7099399804463604e-07,0.1351721352002032,2,3,,
ENSG00000225518.2,LINC01703,5.225288986946337,19.107800408472116,1.7388331861041086e-07,0.07478237198660309,2,2,,
ENSG00000105866.13,SP4,5.215,42.18372453987051,1.838172351768869e-07,0.015283357807679782,1,1,,
ENSG00000049449.8,RCN1,5.161,1358.3352500318138,2.4563418022666345e-07,1.4436229438548168e-05,1,1,,
ENSG00000111707.11,SUDS3,5.141827960714975,9.28488628232077,2.7207820448931625e-07,0.30667749351581075,2,2,,
ENSG00000165379.13,LRFN5,5.103,129.9247752831876,3.34311002557767e-07,0.0015426492344372568,1,1,,
ENSG00000204371.11,EHMT2,5.077,25.99000226971349,3.8344087249684304e-07,0.03815941357556405,1,1,,
ENSG00000106460.18,TMEM106B,5.042,696.7900795517816,4.60691288333663e-07,5.2360256453947725e-05,1,1,,
ENSG00000111801.15,BTN3A3,-4.980342739945367,-32.10907731785819,6.34717620368014e-07,0.024058182264451874,2,2,,
ENSG00000112530.11,PACRG,-4.893235186883255,-13.186142913674045,9.919175214891595e-07,0.13770719221569774,2,3,,
